,State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
,Uttar Pradesh,"FH Med Coll, Agra",DERMATOLOGY,UP Priv-Open Quota,"?42,50,000*","?45,000",0,?0,932,,,
,Uttar Pradesh,"Career Instt of MS, Lucknow",DERMATOLOGY,UP Priv-Open Quota,"?39,90,000*","?40,000",0,?0,600,,,
,Uttar Pradesh,"Teerthanker Med Coll,Moradabad",DERMATOLOGY,UP Priv-Open Quota,"?39,90,000*","?69,600",0,?0,1000,,,
,Uttar Pradesh,"National Captl Reg IMS, Meerut",DERMATOLOGY,UP Priv-Open Quota,"?22,35,387*","?56,100",0,?0,680,,,
,Uttar Pradesh,"Mayo IMS, Barabanki",DERMATOLOGY,UP Priv-Open Quota,"?20,30,961*","?14,000*",1*,?0*,736,,,
,Uttar Pradesh,"Rohilkhand Med Coll, Bareilly",DERMATOLOGY,UP Priv-Open Quota,"?29,09,009*","?24,000*",1,"?15,00,000",720,,,
,Uttar Pradesh,"Hind IMS, Sitapur",DERMATOLOGY,UP Priv-Open Quota,"?20,40,950*","?30,000",1*,?0*,700,,,
,Uttar Pradesh,"IIMSR, Lucknow",DERMATOLOGY,UP Priv-Open Quota,"?41,95,000*","?45,000",0,?0,540,,,
,Uttar Pradesh,"Era Lucknow Med Coll, Lucknow",DERMATOLOGY,UP Priv-Min. Quota,"?39,90,000*","?62,000",0,?0,850,,,
,Uttar Pradesh,"FH Med Coll, Agra",DERMATOLOGY,UP Priv-Min. Quota,"?42,50,000*","?45,000",0,?0,932,,,
,Uttar Pradesh,"Career Instt of MS, Lucknow",DERMATOLOGY,UP Priv-Min. Quota,"?38,90,000*","?40,000",0,?0,600,,,
,Uttar Pradesh,"Teerthanker Med Coll,Moradabad",DERMATOLOGY,UP Priv-Min. Quota,"?39,90,000*","?69,600",0,?0,1000,,,
,Uttar Pradesh,"Subharti Med Coll, Meerut",DERMATOLOGY,UP Priv-Min. Quota,"?14,43,744*","?30,000*",2*,?0*,938,,,
,Uttar Pradesh,"IIMSR, Lucknow",DERMATOLOGY,UP Priv-Min. Quota,"?41,95,000*","?45,000",0,?0,540,,,
,Uttar Pradesh,"SGPGI, Lucknow",EMERGENCY MEDICINE,UP-Govt Quota,"?61,600*","?1,11,780",2*,"?40,00,000*",1609,,,
,Uttar Pradesh,"Dr RML IMS, Lucknow",EMERGENCY MEDICINE,UP-Govt Quota,"?37,500*","?1,08,672",2*,"?40,00,000*",Info Not Available,,,
,Uttar Pradesh,"KGMU, Lucknow",EMERGENCY MEDICINE,UP-Govt Quota,"?54,700*","?1,09,955",2*,"?40,00,000*",4500,,,
,Uttar Pradesh,"SMSR, Greater Noida",EMERGENCY MEDICINE,UP Priv-Open Quota,"?25,40,649*","?32,000",0,?0,1200,,,
,Uttar Pradesh,"Rama Med Coll, Kanpur",EMERGENCY MEDICINE,UP Priv-Open Quota,"?25,62,430*","?30,000",0,?0,730,,,
,Uttar Pradesh,Muzaffarnagar Medical College,EMERGENCY MEDICINE,UP Priv-Open Quota,"?23,23,197*","?56,100*",1*,?0*,857,,,
