State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,,
Chhattisgarh,"SSIMS, Bhilai",GENERAL MEDICINE,Other State,"?10,54,000*","?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"Shri Balaji Inst of MS, Raipur",GENERAL MEDICINE,Other State,"?10,54,000*",Info not available,1,"?25,00,000",Info Not Available,,,,
Chhattisgarh,"Raipur IMS, Raipur",GENERAL MEDICINE,CG MBBS or Ins-NRI,"?79,33,000*","?67,000",1,"?25,00,000",650,,,,
Chhattisgarh,"SSIMS, Bhilai",GENERAL MEDICINE,CG MBBS or Ins-NRI,Info not available*,"?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"Shri Balaji Inst of MS, Raipur",GENERAL MEDICINE,CG MBBS or Ins-NRI,"?75,15,000*",Info not available,1,"?25,00,000",Info Not Available,,,,
Chhattisgarh,"Raipur IMS, Raipur",GENERAL MEDICINE,CG Domicile-NRI,"?79,33,000*","?67,000",1,"?25,00,000",650,,,,
Chhattisgarh,"SSIMS, Bhilai",GENERAL MEDICINE,CG Domicile-NRI,Info not available*,"?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"Shri Balaji Inst of MS, Raipur",GENERAL MEDICINE,CG Domicile-NRI,"?75,15,000*",Info not available,1,"?25,00,000",Info Not Available,,,,
Chhattisgarh,"Raipur IMS, Raipur",GENERAL MEDICINE,CG Other State-NRI,"?79,33,000*","?67,000",1,"?25,00,000",650,,,,
Chhattisgarh,"SSIMS, Bhilai",GENERAL MEDICINE,CG Other State-NRI,Info not available*,"?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"Shri Balaji Inst of MS, Raipur",GENERAL MEDICINE,CG Other State-NRI,"?75,15,000*",Info not available,1,"?25,00,000",Info Not Available,,,,
Chhattisgarh,"Raipur IMS, Raipur",MICROBIOLOGY,CG MBBS or Ins,"?7,92,600*","?67,000",1,"?25,00,000",650,,,,
Chhattisgarh,"SSIMS, Bhilai",MICROBIOLOGY,CG MBBS or Ins,"?8,48,200*","?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"Pt JNM Med Coll, Raipur",MICROBIOLOGY,CG MBBS or Ins,"?20,000*","?67,500",2*,"?50,00,000*",1246,,,,
Chhattisgarh,"Govt Med Coll, Ambikapur",MICROBIOLOGY,CG MBBS or Ins,"?20,000*","?67,500",2*,"?50,00,000*",785,,,,
Chhattisgarh,"CIMS, Bilaspur",MICROBIOLOGY,CG MBBS or Ins,"?20,000*","?67,500",2*,"?50,00,000*",550,,,,
