Round,Quota,Category,State,Institute,Course,Seats,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
2,MNG,GEN,Maharashtra,"MGM Med Coll, Aurangabad",PATHOLOGY,2+2(VV),"₹20,00,000*","₹88,000",1,"₹25,00,000",700,115912(3),115912(1),122478(5),85109(1),-,98481(4),98481(3),108314(5),-,-
3,MNG,GEN,Maharashtra,"MGM Med Coll, Aurangabad",PATHOLOGY,2+2(VV),"₹20,00,000*","₹88,000",1,"₹25,00,000",700,115912(3),115912(1),122478(5),85109(1),-,98481(4),98481(3),108314(5),-,-
1,AIQ,OBC,Assam,"Gauhati Med Coll, Guwahati",FORENSIC MEDICINE,1,"₹17,900*","₹55,200*",2*,"₹20,00,000*",2185,-,-,-,-,-,73410(1),43930(1),108372(1),121345(1),136018(1)
2,AIQ,OBC,Assam,"Gauhati Med Coll, Guwahati",FORENSIC MEDICINE,1,"₹17,900*","₹55,200*",2*,"₹20,00,000*",2185,-,-,-,-,-,73410(1),43930(1),108372(1),121345(1),136018(1)
3,AIQ,OBC,Assam,"Gauhati Med Coll, Guwahati",FORENSIC MEDICINE,1,"₹17,900*","₹55,200*",2*,"₹20,00,000*",2185,-,-,-,-,-,73410(1),43930(1),108372(1),121345(1),136018(1)
4,AIQ,OBC,Assam,"Gauhati Med Coll, Guwahati",FORENSIC MEDICINE,1,"₹17,900*","₹55,200*",2*,"₹20,00,000*",2185,-,-,-,-,-,73410(1),43930(1),108372(1),121345(1),136018(1)
5,AIQ,OBC,Assam,"Gauhati Med Coll, Guwahati",FORENSIC MEDICINE,1,"₹17,900*","₹55,200*",2*,"₹20,00,000*",2185,-,-,-,-,-,73410(1),43930(1),108372(1),121345(1),136018(1)
1,AIQ,GEN,Maharashtra,"Govt Med Coll, Baramati",PHYSIOLOGY,1,"₹1,43,300*","₹92,522",1,"₹50,00,000",310,96809(1),-,121769(1),145303(1),162185(1),93136(1),-,108380(1),-,-
2,AIQ,GEN,Maharashtra,"Govt Med Coll, Baramati",PHYSIOLOGY,1,"₹1,43,300*","₹92,522",1,"₹50,00,000",310,96809(1),-,121769(1),145303(1),162185(1),93136(1),-,108380(1),-,-
3,AIQ,GEN,Maharashtra,"Govt Med Coll, Baramati",PHYSIOLOGY,1,"₹1,43,300*","₹92,522",1,"₹50,00,000",310,96809(1),-,121769(1),145303(1),162185(1),93136(1),-,108380(1),-,-
1,AIQ,GEN,Haryana,"BPS Govt Med Coll, Sonepat",ANATOMY,1,"₹1,25,000*","₹1,00,980*",0*,₹0*,506,-,-,-,-,-,70832(1),82874(1),108385(1),-,-
2,AIQ,GEN,Haryana,"BPS Govt Med Coll, Sonepat",ANATOMY,1,"₹1,25,000*","₹1,00,980*",0*,₹0*,506,-,-,-,-,-,70832(1),82874(1),108385(1),-,-
3,AIQ,GEN,Haryana,"BPS Govt Med Coll, Sonepat",ANATOMY,1,"₹1,25,000*","₹1,00,980*",0*,₹0*,506,-,-,-,-,-,70832(1),82874(1),108385(1),-,-
1,AIQ,GEN-PwD,Madhya Pradesh,"SSMC, Rewa",GENERAL MEDICINE,1,"₹1,01,500*","₹75,444",1,"₹10,00,000",1140,95115(1),99376(1),111677(1),-,-,108397(1),108397(1),108397(1),-,-
