Round,AI Rank,State,Institute,Course,Quota,Category,Fee,Beds,Bond Years,Bond Penalty,Stipend Year 1
3,681238,Gujarat,"SBKS, Vadadora",MBBS,JAIN MIN,Open,2275000,1340,0,0,Info not available
3,681265,Maharashtra,"BV Dental Coll, Navi Mumbai",BDS,DEEMED PS,Open,591250,Info Not Available,0,0,Info not available
3,681411,Telangana,"Malla Reddy InstofDent Sci,HYD",BDS,DEEMED PS,Open,400000,Info Not Available,0,0,Info not available
3,681494,Pondicherry,"MGMC & RI, Pondicherry",MBBS,DEEMED PS,Open,2702000,1380,0,0,2500
3,681546,Jammu and Kashmir,"Government Med Coll, Udhampur",MBBS,AI,Open-PwD,27060,300,0,0,Info not available
3,681552,Odisha,"Kalinga IDS, Bhubaneswar",BDS,DEEMED PS,Open,650000,268,0,0,17000
3,681556,Telangana,"Malla Reddy InstofDent Sci,HYD",BDS,DEEMED PS,Open,400000,Info Not Available,0,0,Info not available
3,681560,Maharashtra,"Datta Meghe Med Coll, Nagpur",MBBS,DEEMED NRI,Open,2967000,925,0,0,10000
3,681564,Pondicherry,"Aarupadai Veedu, Pondicherry",MBBS,DEEMED PS,Open,2388000,584,0,0,5000
3,681663,Tamil Nadu,"Shri Satya Sai, Kancheepuram",MBBS,DEEMED PS,Open,2402000,1120,0,0,2500
3,681728,Pondicherry,"SLIMS, Pondicherry",MBBS,DEEMED PS,Open,2600000,1230,0,0,Info not available
3,681743,Pondicherry,"Aarupadai Veedu, Pondicherry",MBBS,DEEMED PS,Open,2388000,584,0,0,5000
3,681790,Tamil Nadu,"Chettinad Hosp&RI,Kanchipuram",MBBS,DEEMED PS,Open,2700000,1180,0,0,18500
3,681894,Telangana,"Malla Reddy InstofDent Sci,HYD",BDS,DEEMED PS,Open,400000,Info Not Available,0,0,Info not available
3,681896,Pondicherry,"MGMC & RI, Pondicherry",MBBS,DEEMED PS,Open,2702000,1380,0,0,2500
3,681950,Maharashtra,"BV Dental Coll, Sangli",BDS,DEEMED PS,Open,414750,280,0,0,Info not available
3,681959,Tamil Nadu,"Thaimoogambigai Dental,Chennai",BDS,DEEMED PS,Open,450000,330,0,0,Info not available
3,682007,Tamil Nadu,"SRM Med Coll, Kancheepuram",MBBS,DEEMED PS,Open,2800000,1590,0,0,13500
3,682041,Tamil Nadu,"Sree Balaji DentalColl,Chennai",BDS,DEEMED PS,Open,500000,Info Not Available,0,0,Info not available
3,682067,Telangana,"MallaReddy DentalColl Women,HYD",BDS,DEEMED PS,Open,375000,Info Not Available,0,0,Info not available
3,682115,Maharashtra,"DYPatil Dent Coll, Navi Mumbai",BDS,DEEMED PS,Open,875000,428,0,0,Info not available
3,682173,Pondicherry,"Aarupadai Veedu, Pondicherry",MBBS,DEEMED PS,Open,2388000,584,0,0,5000
3,682176,Uttar Pradesh,"Santosh Dental Coll, Ghaziabad",BDS,DEEMED PS,Open,280000,900,0,0,Info not available
3,682221,Pondicherry,"SLIMS, Pondicherry",MBBS,DEEMED PS,Open,2600000,1230,0,0,Info not available
3,682277,Telangana,"Malla Reddy IMS, Hyderabad",MBBS,DEEMED NRI,Open,3612000,940,0,0,Info not available
