Round,AI Rank,State,Institute,Course,Quota,Category,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds
1,147,Kerala,"Govt Med Coll, Kozhikode",RADIO DIAGNOSIS,AIQ,OBC,"69,470",57876,1,"50,00,000",3025
1,148,Kerala,"Govt Med Coll, Kozhikode",GENERAL MEDICINE,AIQ,GEN,"69,470",57876,1,"50,00,000",3025
1,149,Kerala,"Medical College, Trivandrum",GENERAL MEDICINE,AIQ,GEN,"69,470",57876,1,"50,00,000",2126
1,150,Delhi,"UCMS, Delhi",GENERAL MEDICINE,AIQ,GEN,"57,600","1,26,927",0,0,1000
1,151,Karnataka,"Bangalore Med Coll, Bangalore",GENERAL MEDICINE,AIQ,GEN,124150,56250,3,"50,00,000",1993
1,152,West Bengal,"Medical College, Kolkata",RADIO DIAGNOSIS,AIQ,GEN,"12,000",49884,3,"30,00,000",2668
1,153,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,AIQ,OBC,"57,600","1,26,927",0,0,2800
1,154,Gujarat,"BJMC, Ahmedabad",GENERAL SURGERY,AIQ,GEN,"30,000",100800,1,"40,00,000",1557
1,155,Delhi,"VMMC, Delhi",OBG,AIQ,GEN,"41,000","1,20,965",0,0,1550
1,156,Karnataka,"Bangalore Med Coll, Bangalore",GENERAL MEDICINE,AIQ,GEN,124150,56250,3,"50,00,000",1993
1,157,West Bengal,"Medical College, Kolkata",GENERAL MEDICINE,AIQ,GEN,"12,000",49884,3,"30,00,000",2668
1,158,Rajasthan,"SMS, Jaipur",RADIO DIAGNOSIS,AIQ,GEN,"11,647","82,800",2,"25,00,000",5702
1,159,Maharashtra,"Tata Memorial, Mumbai",RADIO DIAGNOSIS,AIQ,GEN,105500,100800,1,"25,00,000",614
1,160,Tamil Nadu,Tirunelveli Med Coll,GENERAL MEDICINE,AIQ,GEN,"50,000","52,451",2,"40,00,000",1737
1,161,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,IP,GEN,"41,000","1,20,965",0,0,1550
1,162,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",RADIO DIAGNOSIS,AIQ,GEN,"11,000",82000,0,0,Info Not Available
1,163,Delhi,"UCMS, Delhi",RADIO DIAGNOSIS,DU,GEN,"57,600","1,26,927",0,0,1000
1,164,Delhi,"GB Pant IPGMER, Delhi",RADIO DIAGNOSIS,DU,GEN,"57,600","1,26,927",0,0,714
1,165,Delhi,"MAMC, Delhi",GENERAL MEDICINE,DU,GEN,"57,600","1,26,927",0,0,2800
1,166,Uttar Pradesh,"IMS(BHU), Varanasi",GENERAL MEDICINE,AIQ,GEN,"48,226","1,00,706",0,0,1165
1,167,Delhi,"ABVIMS (Dr RML Hosp), Delhi",RADIO DIAGNOSIS,AIQ,OBC,"41,000","1,20,965",0,0,1626
1,168,Rajasthan,"SMS, Jaipur",RADIO DIAGNOSIS,AIQ,GEN,"11,647","82,800",2,"25,00,000",5702
1,169,Delhi,"Lady Hardinge, Delhi",DERMATOLOGY,AIQ,GEN,"57,600","1,26,927",0,0,877
1,170,Delhi,"Lady Hardinge, Delhi",GENERAL MEDICINE,DU,GEN,"57,600","1,26,927",0,0,877
1,171,Delhi,"MAMC, Delhi",PAEDIATRICS,AIQ,GEN,"57,600","1,26,927",0,0,2800
1,172,Telangana,"NIMS, Hyderabad",GENERAL MEDICINE,AIQ,GEN,"72,000",111780,1,2000000,1498
1,173,Delhi,"ABVIMS (Dr RML Hosp), Delhi",RADIO DIAGNOSIS,AIQ,OBC,"41,000","1,20,965",0,0,1626
1,174,Maharashtra,"Seth GS, Mumbai",OBG,AIQ,GEN,143300,92522,1,5000000,2250
1,175,Maharashtra,"BJMC, Pune",RADIO DIAGNOSIS,AIQ,GEN,143300,92522,1,5000000,1296
1,176,Telangana,"Osmania Med Coll, Hyderabad",OBG,AIQ,GEN,"25,000",58289,1,2000000,4800
1,177,Punjab,"Govt Med Coll, Patiala",DERMATOLOGY,AIQ,GEN,125000,"67,968",1,"10,00,000",1130
1,178,Uttar Pradesh,"IMS(BHU), Varanasi",GENERAL MEDICINE,AIQ,GEN,"48,226","1,00,706",0,0,1165
1,179,Maharashtra,"Seth GS, Mumbai",ORTHOPAEDICS,AIQ,GEN,143300,92522,1,5000000,2250
1,180,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,IP,GEN,"41,000","1,20,965",0,0,1550
1,181,Delhi,"ABVIMS (Dr RML Hosp), Delhi",RADIO DIAGNOSIS,IP,GEN,"41,000","1,20,965",0,0,1626
1,183,Maharashtra,"Seth GS, Mumbai",RADIO DIAGNOSIS,AIQ,OBC,143300,92522,1,5000000,2250
1,184,Delhi,"Lady Hardinge, Delhi",GENERAL MEDICINE,DU,GEN,"57,600","1,26,927",0,0,877
1,185,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,IP,OBC,"41,000","1,20,965",0,0,1550
1,186,Delhi,"UCMS, Delhi",RADIO DIAGNOSIS,DU,GEN,"57,600","1,26,927",0,0,1000
1,187,Uttar Pradesh,"IMS(BHU), Varanasi",GENERAL MEDICINE,AIQ,EWS,"48,226","1,00,706",0,0,1165
1,188,Delhi,"VMMC, Delhi",GENERAL SURGERY,AIQ,GEN,"41,000","1,20,965",0,0,1550
1,190,Kerala,"Medical College, Trivandrum",RADIO DIAGNOSIS,AIQ,GEN,"69,470",57876,1,"50,00,000",2126
1,191,Gujarat,"BJMC, Ahmedabad",GENERAL MEDICINE,AIQ,GEN,"30,000",100800,1,"40,00,000",1557
1,192,Karnataka,"Bangalore Med Coll, Bangalore",GENERAL MEDICINE,AIQ,GEN,124150,56250,3,"50,00,000",1993
1,193,Maharashtra,"BJMC, Pune",RADIO DIAGNOSIS,AIQ,GEN,143300,92522,1,5000000,1296
1,194,Delhi,"Lady Hardinge, Delhi",GENERAL MEDICINE,AIQ,EWS,"57,600","1,26,927",0,0,877
1,195,Maharashtra,"Grant Med Coll, Mumbai",GENERAL SURGERY,AIQ,GEN,143300,92522,1,5000000,2844
1,196,Tamil Nadu,"Madras Med Coll, Chennai",GENERAL MEDICINE,AIQ,GEN,"50,000","52,451",2,"40,00,000",7285
1,197,Telangana,"Osmania Med Coll, Hyderabad",RADIO DIAGNOSIS,AIQ,GEN,"25,000",58289,1,2000000,4800
1,199,West Bengal,"IPGMER, Kolkata",GENERAL MEDICINE,AIQ,GEN,"12,000",49884,3,"30,00,000",2300
1,200,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,AIQ,EWS,"57,600","1,26,927",0,0,2800
1,201,West Bengal,"IPGMER, Kolkata",GENERAL MEDICINE,AIQ,GEN,"12,000",49884,3,"30,00,000",2300
1,202,Kerala,"Medical College, Trivandrum",RADIO DIAGNOSIS,AIQ,GEN,"69,470",57876,1,"50,00,000",2126
1,203,Maharashtra,"Govt Med Coll, Nagpur",GENERAL MEDICINE,AIQ,GEN,143300,92522,1,5000000,1866
1,205,Delhi,"ABVIMS (Dr RML Hosp), Delhi",RADIO DIAGNOSIS,AIQ,EWS,"41,000","1,20,965",0,0,1626
1,206,Rajasthan,"SMS, Jaipur",RADIO DIAGNOSIS,AIQ,GEN,"11,647","82,800",2,"25,00,000",5702
1,207,Delhi,"VMMC, Delhi",GENERAL SURGERY,AIQ,GEN,"41,000","1,20,965",0,0,1550
1,208,Gujarat,"BJMC, Ahmedabad",RADIO DIAGNOSIS,AIQ,GEN,"30,000",100800,1,"40,00,000",1557
1,209,Telangana,"Gandhi Med Coll, Secunderabad",DERMATOLOGY,AIQ,GEN,"25,000",58289,1,2000000,1200
1,210,Tamil Nadu,"Kilpauk Med Coll, Chennai",RADIO DIAGNOSIS,AIQ,GEN,"50,000","52,451",2,"40,00,000",1700
1,211,Haryana,"Pt BD Sharma, Rohtak",GENERAL MEDICINE,AIQ,GEN,125000,"1,00,980",0,0,2080
1,212,Delhi,"Lady Hardinge, Delhi",RADIO DIAGNOSIS,AIQ,OBC,"57,600","1,26,927",0,0,877
1,213,Chandigarh,"GMC, Chandigarh",RADIO DIAGNOSIS,AIQ,OBC,"34,500","1,07,000",0,0,967
1,214,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,OBC,"41,000","1,20,965",0,0,1626
1,215,Kerala,"Medical College, Trivandrum",GENERAL MEDICINE,AIQ,GEN,"69,470",57876,1,"50,00,000",2126
1,216,Chandigarh,"GMC, Chandigarh",GENERAL MEDICINE,AIQ,GEN,"34,500","1,07,000",0,0,967
1,217,Delhi,"ABVIMS (Dr RML Hosp), Delhi",RADIO DIAGNOSIS,IP,GEN,"41,000","1,20,965",0,0,1626
1,218,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,AIQ,EWS,"57,600","1,26,927",0,0,2800
1,220,Delhi,"Lady Hardinge, Delhi",GENERAL MEDICINE,DU,GEN,"57,600","1,26,927",0,0,877
1,221,Gujarat,"BJMC, Ahmedabad",RADIO DIAGNOSIS,AIQ,GEN,"30,000",100800,1,"40,00,000",1557
1,222,Delhi,"Sir Ganga Ram Hospital, Delhi",DNBGENERAL MEDICINE,DNB Post MBBS,GEN,125000,92000,0,0,675
