Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
WB Govt Quota,UR Open,West Bengal,"Inst of Child Health, Kolkata",PAEDIATRICS,"₹12,000*","₹49,884",3*,"₹30,00,000*",Info Not Available,136(3),124(3),124(3),124(3),-,-,121(2),118(2),361(2),-,-
WB Govt Quota,UR Open,West Bengal,"BCRoy PGI of PaedSci,Kolkata",PAEDIATRICS,"₹12,000*","₹49,884",3*,"₹30,00,000*",620,147(2),135(2),170(2),115(2),-,-,126(1),160(1),364(1),-,-
WB Govt Quota,UR Open,West Bengal,"RG Kar Med Coll, Kolkata",GENERAL SURGERY,"₹12,000*","₹49,884",3*,"₹30,00,000*",1663,87(3),81(3),228(3),228(3),-,-,227(1),215(1),376(1),-,-
WB Govt Quota,UR Open,West Bengal,"Chittaranjan Seva, Kolkata",OBG,"₹12,000*","₹49,884",3*,"₹30,00,000*",Info Not Available,220(2),208(2),298(2),298(2),-,-,322(3),348(3),378(3),-,-
WB Govt Quota,UR Open,West Bengal,Calcutta National Med Coll,GENERAL SURGERY,"₹12,000*","₹49,884",3*,"₹30,00,000*",1470,134(1),122(1),296(2),296(2),-,-,236(2),237(2),385(2),-,-
WB Govt Quota,UR Open,West Bengal,"Chittaranjan Seva, Kolkata",PAEDIATRICS,"₹12,000*","₹49,884",3*,"₹30,00,000*",Info Not Available,166(1),157(1),179(1),179(1),-,-,145(2),188(2),394(2),-,-
WB Govt Quota,UR Open,West Bengal,Bankura Sammilani Med Coll,OBG,"₹12,000*","₹49,884",3*,"₹30,00,000*",1441,242(3),243(3),317(3),317(3),-,-,263(1),350(1),396(1),-,-
WB Govt Quota,SC Open,West Bengal,"RG Kar Med Coll, Kolkata",GENERAL MEDICINE,"₹12,000*","₹49,884",3*,"₹30,00,000*",1663,241(1),204(1),266(1),266(1),-,-,441(1),446(1),397(1),-,-
WB Govt Quota,UR Open,West Bengal,"RG Kar Med Coll, Kolkata",ORTHOPAEDICS,"₹12,000*","₹49,884",3*,"₹30,00,000*",1663,57(1),66(1),66(1),66(1),-,-,148(2),142(2),408(2),-,-
WB Govt Quota,UR Open,West Bengal,"Medical College, Kolkata",PSYCHIATRY,"₹12,000*","₹49,884",3*,"₹30,00,000*",2668,308(1),314(1),422(1),422(1),-,-,173(1),338(1),409(1),-,-
WB Govt Quota,OBC B Open,West Bengal,"NBMC, Darjeeling",GENERAL MEDICINE,"₹12,000*","₹49,884",3*,"₹30,00,000*",843,290(1),276(1),345(1),345(1),-,-,143(1),137(1),410(1),-,-
WB Govt Quota,SC Open,West Bengal,"Medical College, Kolkata",DERMATOLOGY,"₹12,000*","₹49,884",3*,"₹30,00,000*",2668,343(1),323(1),443(1),443(1),-,-,424(1),493(1),413(1),-,-
WB Govt Quota,UR Open,West Bengal,"Medical College, Kolkata",TBRD,"₹12,000*","₹49,884",3*,"₹30,00,000*",2668,76(1),91(1),176(1),176(1),-,-,132(1),126(1),418(1),-,-
WB Govt Quota,UR Open,West Bengal,"NBMC, Darjeeling",OBG,"₹12,000*","₹49,884",3*,"₹30,00,000*",843,-,-,-,-,-,-,274(1),313(1),421(1),-,-
WB Govt Quota,SC Open,West Bengal,Calcutta National Med Coll,GENERAL MEDICINE,"₹12,000*","₹49,884",3*,"₹30,00,000*",1470,285(1),271(1),326(1),326(2),-,-,307(2),450(2),424(2),-,-
WB Govt Quota,UR Open,West Bengal,"RG Kar Med Coll, Kolkata",TBRD,"₹12,000*","₹49,884",3*,"₹30,00,000*",1663,153(2),141(2),194(2),194(2),-,-,206(1),222(1),425(1),-,-
WB Govt Quota,OBC A Open,West Bengal,"BCRoy PGI of PaedSci,Kolkata",PAEDIATRICS,"₹12,000*","₹49,884",3*,"₹30,00,000*",620,-,-,-,-,-,-,524(1),509(1),426(1),-,-
WB Govt Quota,SC Open,West Bengal,"School of Tropical Med,Kolkata",DERMATOLOGY,"₹12,000*","₹49,884",3*,"₹30,00,000*",173,352(1),352(1),352(1),352(1),-,-,459(1),516(1),433(1),-,-
