Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
RAJ Govt - Govt Quota,OBC,Rajasthan,"Jhalawar Med Coll, Jhalawar",OBG,"₹88,265*","₹82,800*",2*,"₹25,00,000*",Info Not Available,442(2),445(1),469(1),-,-,-,421(1),451(1),451(1),-,-
RAJ Govt - Govt Quota,OBC,Rajasthan,"JLNMC, Ajmer",TBRD,"₹10,982*","₹82,800*",2*,"₹25,00,000*",1428,416(1),419(1),419(1),-,-,-,460(2),461(2),461(2),-,-
RAJ Govt - Govt Quota,GEN,Rajasthan,"SMS, Jaipur",PSYCHIATRY,"₹11,647*","₹82,800*",2*,"₹25,00,000*",5702,482(3),447(1),530(2),-,-,-,366(2),-,475(1),-,-
RAJ Govt - Govt Quota,EWS,Rajasthan,"SNMC, Jodhpur",OBG,"₹12,812*","₹82,800*",2*,"₹25,00,000*",3101,555(1),573(1),-,-,-,-,478(1),479(1),479(1),-,-
RAJ Govt - Govt Quota,GEN,Rajasthan,"Govt Med Coll, Kota",GENERAL SURGERY,"₹12,812*","₹82,800*",2*,"₹25,00,000*",2581,475(3),478(2),568(2),-,-,-,479(3),480(1),480(1),-,-
RAJ Govt - Govt Quota,OBC,Rajasthan,"SMS, Jaipur",PSYCHIATRY,"₹11,647*","₹82,800*",2*,"₹25,00,000*",5702,459(1),554(2),555(2),-,-,-,420(3),485(3),485(3),-,-
RAJ Govt - Govt Quota,EWS,Rajasthan,"SNMC, Jodhpur",PAEDIATRICS,"₹12,812*","₹82,800*",2*,"₹25,00,000*",3101,351(1),354(1),375(2),-,-,-,486(3),487(3),487(3),-,-
RAJ Govt - Govt Quota,OBC,Rajasthan,"SNMC, Jodhpur",ORTHOPAEDICS,"₹12,812*","₹82,800*",2*,"₹25,00,000*",3101,316(2),319(1),319(1),615(1),-,-,377(4),355(2),488(3),-,-
RAJ Govt - Govt Quota,EWS,Rajasthan,"JLNMC, Ajmer",PAEDIATRICS,"₹10,982*","₹82,800*",2*,"₹25,00,000*",1428,372(1),-,548(1),-,-,-,494(1),495(1),495(1),-,-
RAJ Govt - Govt Quota,OBC,Rajasthan,"RNT, Udaipur",ORTHOPAEDICS,"₹12,812*","₹82,800*",2*,"₹25,00,000*",2206,-,392(1),438(2),-,-,-,445(1),-,497(1),-,-
RAJ Govt - Govt Quota,SC,Rajasthan,"SNMC, Jodhpur",DERMATOLOGY,"₹12,812*","₹82,800*",2*,"₹25,00,000*",3101,-,-,-,-,-,-,451(1),498(1),498(1),-,-
RAJ Govt - Mgmt Quota,OBC,Rajasthan,"Jhalawar Med Coll, Jhalawar",OBG,"₹8,68,200*","₹82,800*",2*,"₹25,00,000*",Info Not Available,-,-,-,-,-,-,498(1),499(2),499(2),-,-
RAJ Govt - Govt Quota,GEN,Rajasthan,"Jhalawar Med Coll, Jhalawar",ORTHOPAEDICS,"₹88,265*","₹82,800*",2*,"₹25,00,000*",Info Not Available,418(1),-,4910(1),-,-,-,438(1),510(1),510(1),-,-
RAJ Govt - Govt Quota,OBC,Rajasthan,"SMS, Jaipur",EMERGENCY MEDICINE,"₹11,647*","₹82,800*",2*,"₹25,00,000*",5702,-,393(1),393(1),-,-,-,-,511(1),511(1),-,-
RAJ Govt - Govt Quota,EWS,Rajasthan,"SMS, Jaipur",ORTHOPAEDICS,"₹11,647*","₹82,800*",2*,"₹25,00,000*",5702,307(2),381(2),293(2),-,-,-,515(2),516(2),516(2),-,-
Raj DNB Serv,OBC,Rajasthan,"Govt RDBP Jaipuria Hosp,Jaipur",DNBOBG,"₹1,25,000","₹70,656*",Info Not Available,Info not available,521,565(1),569(1),570(1),-,-,-,449(1),532(1),532(1),-,-
RAJ Govt - Govt Quota,EWS,Rajasthan,"SMS, Jaipur",OBG,"₹11,647*","₹82,800*",2*,"₹25,00,000*",5702,420(3),423(3),525(4),-,-,-,513(2),536(2),536(2),-,-
RAJ Govt - Mgmt Quota,OBC,Rajasthan,"Govt Med Coll, Pali",OBG,"₹8,68,200*","₹82,800*",2*,"₹25,00,000*",-,-,-,-,-,-,-,537(1),538(1),538(1),-,-
