Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 1.5,CR 2023 2,CR 2023 3,CR 2023 4,CR 2024 1,CR 2024 1.5,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
Odisha-Govt Quota-InS,UR,Odisha,"SCB, Cuttack",RADIATION ONCOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,72(1),-,96(1),96(1),-,99(1),-,-,102(1),-,-
Odisha-Govt Quota-InS,SC,Odisha,"PGIMER&CapitalHosp,Bhubaneswar",TBRD,"₹38,500*","₹70,686",2*,"₹53,30,000*",760,-,-,-,-,-,100(1),-,-,103(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"SCB, Cuttack",ANAESTHESIOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,70(3),70(2),76(2),77(3),-,86(3),-,-,106(3),-,-
Odisha-Govt Quota,UR-GC,Odisha,"SCB, Cuttack",OBG,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,-,-,-,-,-,98(1),98(1),106(1),106(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"VIMSAR, Burla",ANAESTHESIOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,77(2),-,79(2),84(2),-,104(2),-,-,107(2),-,-
Odisha-Govt Quota-InS,UR,Odisha,"Acharya Harihar Cancer,Cuttack",ANAESTHESIOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",-,-,-,-,-,-,88(1),-,-,108(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"PGIMER&CapitalHosp,Bhubaneswar",ANAESTHESIOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",760,-,-,-,-,-,97(1),-,-,109(1),-,-
Odisha-Mgmt Quota- InS,UR,Odisha,"Hi-Tech, Bhubaneswar",RADIO DIAGNOSIS,"₹25,00,000*","₹30,000*",0,₹0,767,57(1),-,102(1),102(1),-,107(1),-,-,110(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"MKCG, Berhampur",ANAESTHESIOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,67(2),-,-,81(2),-,103(2),-,-,112(2),-,-
Odisha-Govt Quota-InS,UR,Odisha,"SCB, Cuttack",OPHTHALMOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,16(1),-,-,16(1),-,91(2),-,-,116(2),-,-
Odisha-Govt Quota-InS,UR,Odisha,"Hi-Tech, Bhubaneswar",GENERAL SURGERY,"₹7,15,000*","₹30,000*",0,₹0,767,129(2),129(1),134(2),134(2),-,98(2),-,88(1),117(2),-,-
Odisha-Govt Quota,UR,Odisha,"SCB, Cuttack",PAEDIATRICS,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,39(5),41(1),62(4),64(5),-,36(4),20(1),60(4),118(4),-,-
Odisha-Govt Quota,UR,Odisha,"SCB, Cuttack",OBG,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,64(3),64(2),103(3),103(3),-,76(4),68(1),89(3),119(4),-,-
Odisha-Govt Quota,UR,Odisha,"MKCG, Berhampur",PAEDIATRICS,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,41(2),46(1),66(2),70(2),-,39(2),-,71(2),123(2),-,-
Odisha-Govt Quota-InS,UR,Odisha,"SCB, Cuttack",SPM,"₹38,500*","₹88,686*",2*,"₹66,30,000*",2106,101(1),101(1),118(1),118(1),-,120(1),-,-,123(1),-,-
Odisha-Govt Quota-InS,ST,Odisha,"SCB, Cuttack",ORTHOPAEDICS,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,-,-,-,-,-,121(1),-,-,124(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"PGIMER&CapitalHosp,Bhubaneswar",OPHTHALMOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",760,-,-,-,-,-,89(1),-,-,125(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"MKCG, Berhampur",OPHTHALMOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,47(1),-,-,66(1),-,48(1),-,-,127(1),-,-
Odisha-Govt Quota-InS,SC,Odisha,"SCB, Cuttack",ANAESTHESIOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,124(1),-,-,124(1),-,126(1),-,-,129(1),-,-
Odisha-Govt Quota-InS,UR-GC,Odisha,"Hi-Tech, Bhubaneswar",GENERAL SURGERY,"₹7,15,000*","₹30,000*",0,₹0,767,-,-,-,-,-,127(1),-,-,130(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"Hi-Tech, Bhubaneswar",ANAESTHESIOLOGY,"₹7,15,000*","₹30,000*",0,₹0,767,131(1),-,-,131(2),-,110(2),110(1),117(1),131(2),-,-
Odisha-Govt Quota-InS,SC,Odisha,"SCB, Cuttack",GENERAL SURGERY,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,-,-,-,-,-,130(1),-,-,133(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"MKCG, Berhampur",PATHOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1140,157(1),-,-,158(1),-,124(2),124(1),131(1),134(2),-,-
Odisha-Govt Quota-InS,SC,Odisha,"VIMSAR, Burla",GENERAL SURGERY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,151(1),151(1),162(1),163(1),-,133(1),-,-,136(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"Hi-Tech Med Coll, Rourkela",OPHTHALMOLOGY,"₹7,15,000*",Info not available*,0,₹0,420,-,-,-,-,-,112(1),112(1),110(1),137(1),-,-
Odisha-Govt Quota,UR,Odisha,"PGIMER&CapitalHosp,Bhubaneswar",ORTHOPAEDICS,"₹38,500*","₹70,686",2*,"₹53,30,000*",760,-,-,-,-,-,64(1),-,-,139(1),-,-
Odisha-Govt Quota-InS,EWS,Odisha,"SCB, Cuttack",PATHOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",2106,-,-,-,-,-,137(1),-,-,140(1),-,-
Odisha-Govt Quota,UR,Odisha,"VIMSAR, Burla",PAEDIATRICS,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,46(2),47(1),73(2),80(2),-,46(1),-,66(1),142(1),-,-
Odisha-Mgmt Quota- InS,UR,Odisha,"Hi-Tech, Bhubaneswar",DERMATOLOGY,"₹25,00,000*","₹30,000*",0,₹0,767,-,-,-,-,-,139(1),-,-,142(1),-,-
Odisha-Govt Quota,UR,Odisha,"MKCG, Berhampur",ORTHOPAEDICS,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,66(2),75(2),91(2),161(2),-,85(2),85(1),91(2),145(2),-,-
Odisha-Govt Quota-InS,UR,Odisha,"SCB, Cuttack",IHBT,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,-,-,-,-,-,82(1),82(1),109(1),146(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"MKCG, Berhampur",SPM,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1140,128(2),128(1),152(2),214(2),-,131(2),123(1),145(1),148(2),-,-
Odisha-Mgmt Quota- InS,UR,Odisha,"Hi-Tech, Bhubaneswar",GENERAL MEDICINE,"₹25,00,000*","₹30,000*",0,₹0,767,120(2),-,173(1),205(2),-,154(2),-,-,158(2),-,-
Odisha-Govt Quota-InS,UR,Odisha,"VIMSAR, Burla",SPM,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1071,115(1),-,-,115(1),-,141(1),141(1),147(1),160(1),-,-
Odisha-Mgmt Quota- InS,UR,Odisha,"Hi-Tech, Bhubaneswar",OBG,"₹25,00,000*","₹30,000*",0,₹0,767,194(1),-,-,197(2),-,157(2),-,-,161(2),-,-
Odisha-Mgmt Quota- InS,UR,Odisha,"Hi-Tech, Bhubaneswar",ORTHOPAEDICS,"₹25,00,000*","₹30,000*",0,₹0,767,260(2),-,-,284(2),-,158(1),-,-,162(1),-,-
Odisha-Govt Quota-InS,UR-PH,Odisha,"Hi-Tech, Bhubaneswar",ENT,"₹7,15,000*","₹30,000*",0,₹0,767,-,-,-,-,-,-,-,-,166(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"VIMSAR, Burla",PATHOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1071,-,-,-,-,-,113(1),-,128(1),167(2),-,-
Odisha-Govt Quota,UR,Odisha,"MKCG, Berhampur",OBG,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,70(3),68(1),114(2),125(3),-,89(2),-,-,169(2),-,-
Odisha-Govt Quota-InS,UR-GC,Odisha,"MKCG, Berhampur",SPM,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1140,-,-,-,-,-,156(1),156(1),140(1),172(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"VIMSAR, Burla",FORENSIC MEDICINE,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1071,-,-,-,340(1),-,169(1),-,-,173(1),-,-
Odisha-Govt Quota,UR-GC,Odisha,"SCB, Cuttack",GENERAL SURGERY,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,-,-,-,-,-,140(1),140(1),176(1),176(1),-,-
