Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 3.5,CR 2024 4,CR 2024 5
TN Govt Quota,MBC Open,Tamil Nadu,Chengalpattu Med Coll,GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",700,274(1),331(1),390(1),-,-,179(1),334(1),334(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,Coimbatore Med Coll,DERMATOLOGY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1182,225(1),348(1),348(1),-,-,196(1),340(1),340(1),-,-,-
TN Govt Quota,MBC Open,Tamil Nadu,"Madurai Med Coll, Madurai",PAEDIATRICS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",3518,316(1),500(1),500(1),-,-,341(1),341(1),341(1),-,-,-
TN Govt Quota,BC Serv,Tamil Nadu,"KAPV Med Coll, Trichy",RADIO DIAGNOSIS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",2500,48(1),48(1),48(1),-,-,342(1),342(1),342(1),-,-,-
TN Govt Quota,MBC Open,Tamil Nadu,"ESI PGIMSR, KK Nagar, Chennai",GENERAL MEDICINE,"₹2,50,000*","₹1,11,780*",2*,"₹10,00,000*",470,-,-,-,-,-,350(1),350(1),350(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,Kanyakumari Med Coll,GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",840,272(1),355(1),434(2),-,-,271(1),295(1),356(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,"Madras Med Coll, Chennai",OBG,"₹50,000*","₹52,451*",2*,"₹40,00,000*",7285,413(5),415(5),463(5),-,-,265(5),363(5),363(5),-,-,-
TN Govt Quota,OC Serv,Tamil Nadu,Coimbatore Med Coll,DERMATOLOGY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1182,98(1),342(1),342(1),-,-,368(1),368(1),368(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,"Rajah Muthiah, Annamalainagar",GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1400,296(1),357(1),357(1),-,-,281(1),299(1),369(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,Coimbatore Med Coll,PAEDIATRICS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1182,330(1),452(1),474(1),2676(1),-,305(1),370(1),370(1),-,-,-
TN Govt Quota,BC Serv,Tamil Nadu,"Mohan Kumaramangalam, Salem",RADIO DIAGNOSIS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1642,200(1),200(1),200(1),-,-,135(1),372(1),372(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,"Stanley Med Coll, Chennai",PAEDIATRICS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1661,284(1),601(1),601(1),-,-,225(1),374(1),374(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,Govt Vellore Med Coll,GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",2858,282(1),390(1),411(1),-,-,184(1),289(1),375(1),-,-,-
TN-CMC Minority 20,CMC 20% Minority,Tamil Nadu,"CMC, Vellore",GENERAL MEDICINE,"₹65,470*","₹51,000",2,"₹40,00,000",2879,348(3),380(3),380(3),-,-,156(3),274(3),376(3),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,"PSG IMS, Coimbatore",DERMATOLOGY,"₹3,50,000*","₹25,000*",0,₹0,1130,183(1),183(1),183(1),-,-,147(1),380(1),380(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,"Kilpauk Med Coll, Chennai",OBG,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1700,527(1),695(1),695(1),-,-,457(1),501(1),383(1),-,-,-
TN Govt Quota,BCM Open,Tamil Nadu,Tirunelveli Med Coll,DERMATOLOGY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1737,401(1),932(1),932(1),-,-,388(1),388(1),388(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,"Govt Erode Med Coll,Perundurai",GENERAL SURGERY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",600,1128(1),1566(1),1566(1),-,-,796(1),1051(1),389(1),-,-,-
TN Govt Quota,BC Serv,Tamil Nadu,"Stanley Med Coll, Chennai",DERMATOLOGY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1661,526(1),526(1),526(1),-,-,372(1),397(1),397(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,Govt Dharmapuri Med Coll,GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",Info Not Available,313(1),440(1),440(1),-,-,262(1),271(1),401(1),-,-,-
TN Govt Quota,BC Serv,Tamil Nadu,"CMC, Vellore",RADIO DIAGNOSIS,"₹65,470*","₹51,000",2,"₹40,00,000",2879,365(1),365(1),365(1),-,-,389(1),389(1),404(1),-,-,-
TN Govt Quota,BC Serv,Tamil Nadu,Thanjavur Med Coll,DERMATOLOGY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1466,-,-,-,-,-,406(1),406(1),406(1),-,-,-
TN Govt Quota,MBC Open,Tamil Nadu,Tirunelveli Med Coll,GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1737,195(1),222(1),227(1),-,-,168(1),200(1),412(1),-,-,-
TN Govt Quota,MBC Open,Tamil Nadu,"Madras Med Coll, Chennai",PAEDIATRICS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",7285,261(3),278(3),278(3),-,-,256(3),416(3),416(3),-,-,-
TN Govt Quota,MBC Open,Tamil Nadu,"Madurai Med Coll, Madurai",RADIO DIAGNOSIS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",3518,61(1),61(1),61(1),-,-,47(1),95(1),419(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,"Mohan Kumaramangalam, Salem",PAEDIATRICS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1642,350(1),590(1),590(1),-,-,307(1),365(1),434(1),-,-,-
TN Govt Quota,MBC Open,Tamil Nadu,"CMC, Vellore",GENERAL SURGERY,"₹65,470*","₹51,000",2,"₹40,00,000",2879,977(1),977(1),977(1),-,-,436(1),436(1),436(1),-,-,-
TN Govt Quota,MBC Open,Tamil Nadu,"KAPV Med Coll, Trichy",GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",2500,256(1),353(1),353(1),-,-,249(1),276(1),444(1),-,-,-
