Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
JHKND Govt Quota,ST,Jharkhand,"MGM Med Coll, Jamshedpur",OBG,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,-,-,213(1),-,-,-,-,-,-
JHKND Govt Quota,ST,Jharkhand,"MGM Med Coll, Jamshedpur",DCH,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,216(1),-,-,-,-,-,-,-,-
JHKND Govt Quota,BC-I,Jharkhand,"Rajendra IMS, Ranchi",PATHOLOGY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,217(2),-,-,-,-,-,-,-,-
JHKND Govt Quota,BC-I,Jharkhand,"Rajendra IMS, Ranchi",PHARMACOLOGY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,227(1),-,-,-,-,-,-,-,-
JHKND Govt Quota,ST,Jharkhand,"MGM Med Coll, Jamshedpur",DMRD,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,-,229(1),-,-,-,-,-,-,-
JHKND Govt Quota,BC-I,Jharkhand,"MGM Med Coll, Jamshedpur",PHARMACOLOGY,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,-,230(1),-,-,-,-,-,-,-
JHKND Govt Quota,EWS,Jharkhand,"Rajendra IMS, Ranchi",ENT,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,-,234(1),-,-,-,-,-,-
JHKND Govt Quota,UR-PH,Jharkhand,"Rajendra IMS, Ranchi",GENERAL SURGERY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,239(1),-,-,-,-,-,-,-,-
JHKND Govt Quota,SC,Jharkhand,"MGM Med Coll, Jamshedpur",DCH,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,-,-,242(1),-,-,-,-,-,-
JHKND Govt Quota,UR-PH,Jharkhand,"Rajendra IMS, Ranchi",ENT,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,261(1),-,-,-,-,-,-,-
