Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2024 1,CR 2024 2,CR 2024 3
DNB Sponsored,GEN,Tamil Nadu,"Kauvery Hospital, Chennai",DNBANAESTHESIOLOGY,-,-,-,-,200,-,-,-,89952(1),-,-
DNB Sponsored,GEN,Tamil Nadu,"Dr Rangarajan Mem Hosp,Chennai",DNBFAMILY MEDICINE,-,-,-,-,176,-,-,-,94888(1),-,-
DNB Sponsored,GEN,Pondicherry,"IG GovtGenHosp&PGI,Pondicherry",DNBFAMILY MEDICINE,-,-,-,-,626,-,-,-,95471(1),-,-
DNB Sponsored,GEN,Tamil Nadu,"CSI Kalyani, Chennai",DNBFAMILY MEDICINE,"₹1,25,000","₹48,000",0,₹0,200,89281(1),98949(1),-,105582(1),-,-
DNB Sponsored,GEN,Jammu and Kashmir,"Govt Med Coll Hosp, Anantnag",DNBCOMMUNITY MEDICINE,-,-,-,-,363,-,-,-,137699(1),-,-
DNB Sponsored,GEN,Karnataka,"Manipal Hosp, Rustum Bagh, BLR",DNBRADIO DIAGNOSIS,"₹1,25,000","₹45,000",0,₹0,600,6958(1),12650(1),-,-,-,-
DNB Sponsored,GEN,Karnataka,"NarayanaHrudyalaya,Bommasandra",DNBRADIO DIAGNOSIS,-,-,-,-,2000,15940(1),-,-,-,-,-
DNB Sponsored,GEN,Delhi,"Deen Dayal Upadhyay, Delhi",DNBGENERAL MEDICINE,"₹1,25,000","₹1,10,533*",0,₹0,640,21019(1),-,-,-,-,-
DNB Sponsored,GEN,Delhi,"Hindu Rao Hospital, Delhi",DNBPAEDIATRICS,"₹1,25,000","₹1,21,389*",0,₹0,980,29251(1),-,-,-,-,-
DNB Sponsored,GEN,West Bengal,"District Hospital, Jalpaiguri",DNBOBG,"₹1,25,000","₹45,071",0,₹0,1000,36717(1),-,-,-,-,-
DNB Sponsored,GEN,Kerala,"KIMS Al Shifa Hosp, Malappuram",DNBGENERAL MEDICINE,"₹1,25,000","₹55,120",0,₹0,500,39631(1),-,-,-,-,-
DNB Sponsored,GEN,Himachal Pradesh,"Lal Bah Shastri Govt Med,Mandi",DNBGENERAL MEDICINE,"₹1,25,000","₹40,000*",2,"₹40,00,000",550,40934(1),-,-,-,-,-
DNB Sponsored,GEN,Chhattisgarh,"JLN Main Hosp & RC, Bhilai",DNBGENERAL MEDICINE,"₹1,25,000","₹53,550",0,₹0,860,41618(1),-,-,-,-,-
DNB Sponsored,GEN,Delhi,"Batra Hospital, Delhi",DNBGENERAL SURGERY,"₹1,25,000","₹61,000",0,₹0,495,45862(1),-,-,-,-,-
DNB Sponsored,GEN,Karnataka,"Apollo Hosp, Bannerghatta, BLR",DNBGENERAL MEDICINE,"₹1,25,000","₹45,000",0,₹0,350,46150(1),-,-,-,-,-
DNB Sponsored,GEN,Maharashtra,"Jupiter Hospital, Thane",DNBPAEDIATRICS,"₹1,25,000","₹66,100",0,₹0,350,46926(1),-,-,-,-,-
DNB Sponsored,GEN,Tamil Nadu,"Southern Railway Hosp, Chennai",DNBGENERAL SURGERY,"₹1,25,000","₹48,000*",0,₹0,505,51593(1),-,-,-,-,-
DNB Sponsored,GEN,Delhi,"Max SS Hosp, Saket, Delhi",DNBANAESTHESIOLOGY,"₹1,25,000","₹60,000",0,₹0,539,52396(1),-,-,-,-,-
DNB Sponsored,GEN,Tamil Nadu,"Kovai MedicalCentre,Coimbatore",DNBPAEDIATRICS,"₹1,25,000","₹48,000",0,₹0,950,55645(1),-,-,-,-,-
DNB Sponsored,GEN,Meghalaya,"Nazareth Hospital, Shillong",DNBGENERAL MEDICINE,"₹1,25,000","₹48,000",0,₹0,366,56565(1),-,-,-,-,-
DNB Sponsored,GEN,Haryana,"Fortis Escorts Hosp, Faridabad",DNBGENERAL SURGERY,"₹1,25,000","₹71,100",0,₹0,210,56917(1),-,-,-,-,-
DNB Sponsored,GEN,Delhi,"Mata Chanan Devi Hosp, Delhi",DNBGENERAL SURGERY,"₹1,25,000","₹56,100",0,₹0,210,57286(1),-,-,-,-,-
DNB Sponsored,GEN,Assam,"Aditya Diag & Hosp, Dibrugarh",DNBGENERAL MEDICINE,"₹1,25,000","₹48,000",0,₹0,210,57623(1),57623(1),-,-,-,-
DNB Sponsored,GEN,Maharashtra,"Jehangir Hospital, Pune",DNBEMERGENCY MEDICINE,"₹1,25,000","₹65,791*",0,₹0,335,59428(1),-,-,-,-,-
DNB Sponsored,GEN,Delhi,"St Stephen's Hospital, Delhi",DNBGENERAL MEDICINE,"₹1,25,000","₹58,000*",0,₹0,595,22231(1),22594(1),60862(1),-,-,-
DNB Sponsored,GEN,Karnataka,"St Martha's Hosp, Bangalore",DNBGENERAL SURGERY,"₹1,25,000","₹45,000",0,₹0,431,65994(1),-,-,-,-,-
DNB Sponsored,GEN,Karnataka,"St Philomena's Hosp,Bangalore",DNBGENERAL SURGERY,"₹1,25,000","₹45,000",0,₹0,371,72373(1),-,-,-,-,-
DNB Sponsored,GEN,Uttar Pradesh,"Chandan Hospital, Lucknow",DNBANAESTHESIOLOGY,"₹1,25,000","₹85,000",0,₹0,198,64810(1),75434(2),-,-,-,-
DNB Sponsored,GEN,Tamil Nadu,"GKNM Hospital, Coimbatore",DNBANAESTHESIOLOGY,"₹1,25,000","₹49,440",0,₹0,600,79499(1),81494(2),-,-,-,-
DNB Sponsored,GEN,Tamil Nadu,"Christian F Hosp, Oddanchatram",DNBFAMILY MEDICINE,"₹1,25,000","₹48,000",0,₹0,299,88379(1),-,-,-,-,-
DNB Sponsored,GEN,Maharashtra,"HurkisondasNurrotumdas, Mumbai",DNBANAESTHESIOLOGY,"₹1,25,000","₹70,000",0,₹0,360,71389(1),71389(1),89929(1),-,-,-
