Counselling,Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,Fee Session,CR 2023 0,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2023 7,CR 2024 0,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 3.5,CR 2024 4,CR 2024 5,CR 2024 6
Haryana PG,HAR Priv-Mgmt,MNG,Haryana,"NC Med Coll, Panipat",ANAESTHESIOLOGY,"₹14,02,000*","₹40,000",0,₹0,680,2024,-,-,-,-,-,-,-,-,-,1201(1),835(1),364(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"SVS Med Coll, Mehboobnagar",OBG,"₹24,00,000*",Info not available*,1*,"₹20,00,000*",760,2024,-,211(2),231(2),231(2),231(2),231(2),231(2),-,-,261(2),261(2),366(2),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Surabhi InstituteofMS,Siddipet",GENERAL MEDICINE,"₹24,00,000*",Info not available*,1*,"₹20,00,000*",-,2024,-,212(2),272(2),402(2),402(2),402(2),402(2),-,-,216(2),245(2),367(2),-,-,-,-
Haryana PG,HAR Priv-Mgmt,MNG,Haryana,"SGGST Med Coll, Gurgaon",ANAESTHESIOLOGY,"₹20,00,000*","₹56,100",Info Not Available,Info not available,720,2024,-,1018(3),800(3),342(1),308(2),-,-,-,-,1397(4),842(4),368(4),-,-,-,-
AP Mgmt PG,APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"Konaseema IMS, Amalapuram",GENERAL MEDICINE,"₹9,93,600*","₹30,000*",1*,Info not available*,840,2024,-,42(1),303(1),-,-,-,-,-,-,26(1),59(1),373(1),-,81(1),-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mamata AcadofMedSci,Bachupally",TBRD,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",-,2024,-,-,-,-,-,-,-,-,-,247(1),375(1),375(1),-,-,-,-
Haryana PG,HAR Priv-Mgmt,MNG,Haryana,"SGGST Med Coll, Gurgaon",ORTHOPAEDICS,"₹32,00,000*","₹56,100",Info Not Available,Info not available,720,2024,-,863(3),642(3),457(2),187(1),-,-,-,-,1117(2),890(2),376(2),-,-,-,-
UK PG,UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"SGRRI, Dehradun",GENERAL MEDICINE,"₹28,00,000*","₹59,065",1,"₹10,00,000",750,2024,-,138(6),123(5),62(5),-,-,-,-,-,228(8),377(8),378(7),-,-,-,-
AP Mgmt PG,APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"Maharajah IMS, Vizianagaram",GENERAL MEDICINE,"₹9,93,600*",Info not available*,1*,Info not available*,850,2024,-,71(1),348(1),812(1),539(1),1166(1),-,-,-,31(1),98(1),383(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"RVM IMSRC, Siddipet",DERMATOLOGY,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",1110,2024,-,-,-,-,-,-,-,-,-,173(1),283(1),383(1),-,-,-,-
AP Mgmt PG,APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"Fathima IMS,Kadapa",RADIO DIAGNOSIS,"₹9,93,600*","₹25,000*",1*,Info not available*,750,2024,-,274(1),293(1),-,-,-,-,-,-,298(1),388(1),391(1),-,-,-,-
Punjab PG,PB Priv-AdeshAllIndia,GEN,Punjab,"Adesh IMS, Bhatinda",ORTHOPAEDICS,"₹14,90,000*","₹56,100*",1*,"₹25,00,000*",750,2024,-,-,-,-,-,-,-,-,-,312(1),299(1),397(1),-,-,-,-
AP Mgmt PG,APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"NRI Med Coll, Guntur",GENERAL SURGERY,"₹9,93,600*","₹27,000*",1*,Info not available*,1050,2024,-,158(1),565(1),-,-,-,-,-,-,108(1),248(1),402(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"RVM IMSRC, Siddipet",RADIO DIAGNOSIS,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",1110,2024,-,45(1),128(1),128(1),128(1),128(1),128(1),-,-,112(1),131(1),409(1),-,-,-,-
Punjab PG,PB Priv-AdeshAllIndia,GEN,Punjab,"Adesh IMS, Bhatinda",ENT,"₹14,90,000*","₹56,100*",1*,"₹25,00,000*",750,2024,-,-,-,-,-,-,-,-,-,405(1),309(1),413(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mediciti IMS, Ghanpur",RADIO DIAGNOSIS,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",720,2024,-,90(3),93(3),131(3),131(3),131(3),131(3),-,-,131(3),182(3),419(3),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Prathima IMS, Karimnagar",DERMATOLOGY,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",1060,2024,-,91(1),171(1),184(1),184(1),184(1),184(1),-,-,226(1),226(1),421(1),-,-,-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"PSG IMS, Coimbatore",GENERAL MEDICINE,"₹15,50,000*","₹25,000*",0,₹0,1130,2024,-,29(1),84(1),84(1),-,-,-,-,-,78(1),101(1),423(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"MNR Med Coll, Sangareddy",GENERAL MEDICINE,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",760,2024,-,189(3),256(3),326(3),326(3),326(3),326(3),-,-,203(6),225(6),425(6),-,-,-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"Sankara Netralaya, Chennai",OPHTHALMOLOGY,"₹15,50,000*","₹48,000*",0,₹0,244,2024,-,246(2),246(2),246(2),-,-,-,-,-,367(2),427(2),427(2),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"MNR Med Coll, Sangareddy",RADIO DIAGNOSIS,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",760,2024,-,115(2),174(2),174(2),174(2),174(2),174(2),-,-,139(2),195(2),428(2),-,-,-,-
Haryana PG,HAR Priv-Mgmt,MNG,Haryana,"Adesh Med Coll, Shahabad",PATHOLOGY,"₹5,52,000*","₹44,000",0,₹0,775,2024,-,1376(3),809(1),748(3),417(4),1033(1),-,-,-,2029(2),1105(2),430(1),-,233(2),-,-
HP PG,HP Priv All,GEN,Himachal Pradesh,"MMU, Solan",GENERAL MEDICINE,"₹28,99,600*","₹40,000",1,"₹10,00,000",720,2024,-,6(1),432(4),-,-,-,-,-,-,97(5),470(5),432(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Maheshwara Med Coll, Medak",GENERAL MEDICINE,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",745,2024,-,-,-,-,-,-,-,-,-,209(1),238(1),434(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"MNR Med Coll, Sangareddy",DERMATOLOGY,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",760,2024,-,131(1),141(1),141(1),141(1),141(1),141(1),-,-,206(1),206(1),435(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Surabhi InstituteofMS,Siddipet",OBG,"₹24,00,000*",Info not available*,1*,"₹20,00,000*",-,2024,-,354(1),419(1),614(1),614(1),614(1),614(1),-,-,366(1),366(1),440(1),-,-,-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"Dhanalakshmi Srin, Perambalur",RADIO DIAGNOSIS,"₹15,50,000*","₹35,000*",0,₹0,800,2024,-,-,-,-,-,-,-,-,-,-,-,441(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Apollo IMSR, Hyderabad",PSYCHIATRY,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",570,2024,-,-,-,-,-,-,-,-,-,444(1),444(1),444(1),-,-,-,-
Haryana PG,HAR Priv-Mgmt,MNG,Haryana,"SGGST Med Coll, Gurgaon",GENERAL SURGERY,"₹30,00,000*","₹56,100",Info Not Available,Info not available,720,2024,-,878(5),837(4),386(1),226(1),-,-,-,-,1153(4),953(4),452(4),-,-,-,-
PNDCHRY PG,PY Mgmt-Open,AGE,Pondicherry,"SMVMCH, Pondicherry",TBRD,"₹23,90,000*",₹0*,0,₹0,900,2024,-,58(1),427(1),733(1),-,-,-,-,-,82(2),315(2),453(2),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Kamineni IMS, Narketpally",OBG,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",1060,2024,-,275(1),389(1),389(1),389(1),389(1),389(1),-,-,287(1),252(1),454(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mahavir Inst of MS, Vikarabad",RADIO DIAGNOSIS,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",700,2024,-,121(1),182(1),182(1),182(1),182(1),182(1),-,-,153(1),211(1),456(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Apollo IMSR, Hyderabad",ENT,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",570,2024,-,-,-,-,-,-,-,-,-,457(1),457(1),457(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mahavir Inst of MS, Vikarabad",GENERAL MEDICINE,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",700,2024,-,193(1),297(1),378(1),378(1),378(1),378(1),-,-,208(1),234(1),459(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Surabhi InstituteofMS,Siddipet",RADIO DIAGNOSIS,"₹24,00,000*",Info not available*,1*,"₹20,00,000*",-,2024,-,-,-,-,-,-,-,-,-,164(1),219(1),460(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mamata Med Coll, Khammam",OBG,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",1080,2024,-,297(2),334(2),334(2),334(2),334(2),334(2),-,-,285(2),262(2),481(2),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"SVS Med Coll, Mehboobnagar",PAEDIATRICS,"₹24,00,000*",Info not available*,1*,"₹20,00,000*",760,2024,-,176(2),265(2),265(2),265(2),265(2),265(2),-,-,86(1),86(1),482(1),-,692(1),-,-
UK PG,UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"HIMS, Dehradun",PAEDIATRICS,"₹26,00,000*","₹40,000",1,"₹2,50,00,000",1200,2024,-,256(7),302(6),88(4),-,-,-,-,-,318(6),449(6),494(3),-,647(1),-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"KarpagaVinayaga,Maduranthagam",RADIO DIAGNOSIS,"₹15,50,000*","₹10,000*",0,₹0,550,2024,-,-,-,-,-,-,-,-,-,101(1),496(1),496(1),-,-,-,-
Haryana PG,HAR Priv-Mgmt,MNG,Haryana,"World College of MS&RC, Jhajjar",ANAESTHESIOLOGY,"₹14,02,000*","₹56,100",0,₹0,-,2024,-,951(4),909(4),688(2),361(2),906(2),-,-,-,1503(5),1019(5),499(4),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Kamineni IMS, Narketpally",PAEDIATRICS,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",1060,2024,-,204(1),274(1),345(1),345(1),345(1),345(1),-,-,243(1),293(1),501(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Kamineni (KAMSRC), Hyderabad",ORTHOPAEDICS,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",650,2024,-,432(1),500(1),500(1),500(1),500(1),500(1),-,-,510(1),510(1),510(1),-,-,-,-
Punjab PG,PB Priv-AdeshAllIndia,GEN,Punjab,"Adesh IMS, Bhatinda",ANAESTHESIOLOGY,"₹14,90,000*","₹56,100*",1*,"₹25,00,000*",750,2024,-,468(1),412(1),445(1),-,-,-,-,-,624(2),382(2),511(3),-,68(2),-,-
UK PG,UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"SGRRI, Dehradun",OBG,"₹31,50,000*","₹59,065",1,"₹10,00,000",750,2024,-,232(3),222(2),111(1),-,-,-,-,-,287(2),501(2),518(2),-,-,-,-
AP Mgmt PG,APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"Alluri Sitaram Raju, Eluru",OBG,"₹9,93,600*","₹30,000*",1*,Info not available*,1200,2024,-,35(1),356(1),-,-,-,-,-,-,147(1),149(1),520(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Prathima IMS, Karimnagar",OBG,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",1060,2024,-,290(3),326(3),331(3),331(3),331(3),331(3),-,-,297(3),341(3),526(3),-,-,-,-
WB PG,WB Mgmt Quota,MQ,West Bengal,"ICARE IMS & R, Haldia",PAEDIATRICS,"₹40,00,000*","₹40,000",0,₹0,Info Not Available,2024,-,698(1),597(1),540(1),213(1),-,-,-,-,194(2),497(2),532(2),-,194(2),459(2),-
Haryana PG,HAR Priv-Mgmt,MNG,Haryana,"Al Falah SchooloffMS,Faridabad",ANAESTHESIOLOGY,"₹17,90,000*","₹55,000",0,₹0,-,2024,-,1060(3),936(2),796(6),-,-,-,-,-,1823(6),1052(6),534(6),-,170(2),74(1),-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Prathima IMS, Karimnagar",PAEDIATRICS,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",1060,2024,-,241(3),286(3),419(3),419(3),419(3),419(3),-,-,191(2),277(2),548(2),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mamata Med Coll, Khammam",PAEDIATRICS,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",1080,2024,-,222(2),253(2),253(2),253(2),253(2),253(2),-,-,232(3),279(3),558(3),-,-,-,-
UK PG,UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"HIMS, Dehradun",ORTHOPAEDICS,"₹30,00,000*","₹40,000",1,"₹2,50,00,000",1200,2024,-,343(3),460(2),-,-,-,-,-,-,463(3),547(2),565(1),-,-,-,-
PNDCHRY PG,PY Mgmt-Open,AGE,Pondicherry,"PIMS, Pondicherry",GENERAL SURGERY,"₹23,90,000","₹43,000",0,₹0,740,2024,-,-,575(3),558(2),-,-,-,-,-,-,-,569(3),-,1278(1),-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"SVS Med Coll, Mehboobnagar",GENERAL SURGERY,"₹24,00,000*",Info not available*,1*,"₹20,00,000*",760,2024,-,394(4),437(4),543(4),543(4),543(4),543(4),-,-,416(4),428(4),572(4),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"CAIMS, Karimnagar",PAEDIATRICS,"₹24,00,000*",Info not available*,1*,"₹20,00,000*",1000,2024,-,247(2),289(2),289(2),289(2),289(2),289(2),-,-,235(2),301(2),573(2),-,-,-,-
Punjab PG,PB Priv-DMC Mgmt,GEN,Punjab,"DMC, Ludhiana",PATHOLOGY,"₹6,50,000*","₹50,000",0,₹0,1326,2024,-,469(1),530(1),416(1),-,-,-,-,-,690(1),-,573(3),-,-,-,-
WB PG,WB Mgmt Quota,MQ,West Bengal,"ICARE IMS & R, Haldia",ORTHOPAEDICS,"₹40,00,000*","₹40,000",0,₹0,Info Not Available,2024,-,608(1),293(1),528(1),209(1),-,-,-,-,237(1),485(1),588(1),-,85(1),458(1),-
UK PG,UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"SGRRI, Dehradun",PAEDIATRICS,"₹28,00,000*","₹59,065",1,"₹10,00,000",750,2024,-,280(3),376(3),108(2),-,-,-,-,-,324(2),496(1),594(2),-,-,-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"PSG IMS, Coimbatore",PAEDIATRICS,"₹15,50,000*","₹25,000*",0,₹0,1130,2024,-,79(1),122(1),237(1),459(1),-,-,-,-,194(1),194(1),597(1),-,-,-,-
UK PG,UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"HIMS, Dehradun",OBG,"₹30,00,000*","₹40,000",1,"₹2,50,00,000",1200,2024,-,188(3),178(1),58(1),-,-,-,-,-,374(3),492(3),600(2),-,-,-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"PSG IMS, Coimbatore",GENERAL SURGERY,"₹15,50,000*","₹25,000*",0,₹0,1130,2024,-,171(1),310(1),310(1),-,-,-,-,-,385(1),342(1),600(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"RVM IMSRC, Siddipet",OBG,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",1110,2024,-,334(1),162(1),400(1),400(1),400(1),400(1),-,-,277(1),359(1),605(1),-,-,-,-
UK PG,UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"SGRRI, Dehradun",ORTHOPAEDICS,"₹31,00,000*","₹59,065",1,"₹10,00,000",750,2024,-,386(4),471(4),114(3),-,-,-,-,-,511(2),585(2),606(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Dr Patnam MRInstofMS,Chevella",PAEDIATRICS,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",-,2024,-,276(1),310(1),310(1),310(1),310(1),310(1),-,-,269(1),292(1),613(1),-,-,-,-
PNDCHRY PG,PY Mgmt-Open,AGE,Pondicherry,"PIMS, Pondicherry",OPHTHALMOLOGY,"₹23,90,000","₹43,000",0,₹0,740,2024,-,-,1401(2),1021(2),-,-,-,-,-,-,-,614(1),-,878(1),-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mediciti IMS, Ghanpur",PAEDIATRICS,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",720,2024,-,224(1),298(1),298(1),298(1),298(1),298(1),-,-,-,-,629(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"MNR Med Coll, Sangareddy",PAEDIATRICS,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",760,2024,-,240(1),309(1),463(1),463(1),463(1),463(1),-,-,254(2),329(2),631(2),-,-,-,-
AP Mgmt PG,APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"GSL Med Coll, Rajahmundry",PAEDIATRICS,"₹9,93,600*","₹30,000*",1*,Info not available*,1140,2024,-,107(1),826(1),-,-,-,-,-,-,71(1),207(1),643(1),-,-,-,-
WB PG,WB Mgmt Quota,MQ,West Bengal,"KPC Med Coll, Jadavpur",DERMATOLOGY,"₹27,00,000*","₹43,758",0,₹0,750,2024,-,351(1),771(1),914(1),914(1),-,-,-,-,627(1),627(1),644(2),-,-,-,-
HP PG,HP Priv All,GEN,Himachal Pradesh,"MMU, Solan",OBG,"₹29,35,800*","₹40,000",1,"₹10,00,000",720,2024,-,7(1),562(4),-,-,-,-,-,-,170(3),531(3),646(2),-,-,-,-
UK PG,UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"HIMS, Dehradun",ENT,"₹17,00,000*","₹40,000",1,"₹10,00,000",1200,2024,-,247(2),397(2),127(2),-,-,-,-,-,505(2),627(1),649(1),-,-,-,-
AP Mgmt PG,APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"GSL Med Coll, Rajahmundry",OBG,"₹9,93,600*","₹30,000*",1*,Info not available*,1140,2024,-,161(1),589(1),-,-,-,-,-,-,130(1),221(1),652(1),-,-,-,-
UK PG,UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"HIMS, Dehradun",GENERAL SURGERY,"₹25,00,000*","₹40,000",1,"₹2,50,00,000",1200,2024,-,375(7),372(5),135(3),-,-,-,-,-,578(8),631(5),664(3),-,-,-,-
Haryana PG,HAR Priv-Mgmt,MNG,Haryana,"SGGST Med Coll, Gurgaon",PATHOLOGY,"₹17,00,000*","₹56,100",Info Not Available,Info not available,720,2024,-,1454(3),945(1),868(4),506(4),1107(2),-,-,-,2260(3),1176(1),664(3),-,325(1),-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"CAIMS, Karimnagar",OBG,"₹24,00,000*",Info not available*,1*,"₹20,00,000*",1000,2024,-,324(2),362(2),395(2),395(2),395(2),395(2),-,-,304(2),352(2),666(2),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Surabhi InstituteofMS,Siddipet",PAEDIATRICS,"₹24,00,000*",Info not available*,1*,"₹20,00,000*",-,2024,-,265(1),314(1),498(1),498(1),498(1),498(1),-,-,279(1),332(1),670(1),-,-,-,-
PNDCHRY PG,PY Mgmt-Open,AGE,Pondicherry,"PIMS, Pondicherry",ANAESTHESIOLOGY,"₹23,90,000","₹43,000",0,₹0,740,2024,-,-,1555(3),1565(3),-,-,-,-,-,-,-,679(3),-,1170(1),-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Apollo IMSR, Hyderabad",ORTHOPAEDICS,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",570,2024,-,-,-,-,-,-,-,-,-,544(1),683(1),683(1),-,-,-,-
PNDCHRY PG,PY Mgmt-Open,AGE,Pondicherry,"PIMS, Pondicherry",ENT,"₹23,90,000","₹43,000",0,₹0,740,2024,-,-,878(1),878(1),-,-,-,-,-,-,-,689(2),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mamata Med Coll, Khammam",EMERGENCY MEDICINE,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",1080,2024,-,-,-,-,-,-,-,-,-,690(1),690(1),690(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mamata Med Coll, Khammam",TBRD,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",1080,2024,-,321(1),281(1),281(1),281(1),281(1),281(1),-,-,373(1),397(1),694(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Bhaskar Med Coll, Yenkapally",OBG,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",850,2024,-,309(1),346(1),346(1),346(1),346(1),346(1),-,-,275(1),275(1),695(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Bhaskar Med Coll, Yenkapally",ENT,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",850,2024,-,666(1),798(1),989(1),989(1),989(1),989(1),-,-,696(1),696(1),696(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Kamineni (KAMSRC), Hyderabad",GENERAL SURGERY,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",650,2024,-,474(2),529(2),553(2),553(2),553(2),553(2),-,-,447(2),447(2),698(2),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Apollo IMSR, Hyderabad",GENERAL SURGERY,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",570,2024,-,336(1),376(1),376(1),376(1),376(1),376(1),-,-,130(1),404(1),700(1),-,-,-,-
Punjab PG,PB Priv-AdeshAllIndia,GEN,Punjab,"Adesh IMS, Bhatinda",PATHOLOGY,"₹14,90,000*","₹56,100*",1*,"₹25,00,000*",750,2024,-,688(1),765(1),-,-,-,-,-,-,-,-,703(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Dr Patnam MRInstofMS,Chevella",TBRD,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",-,2024,-,478(1),538(1),766(1),699(1),712(1),712(1),-,-,374(1),402(1),706(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"MNR Med Coll, Sangareddy",OBG,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",760,2024,-,318(2),413(2),510(2),532(2),532(2),532(2),-,-,339(2),374(2),711(2),-,-,-,-
PNDCHRY PG,PY Mgmt-Open,AGE,Pondicherry,"SriVenkateswaraa, Pondicherry",GENERAL MEDICINE,"₹39,00,000*","₹7,000*",2*,Info not available*,1120,2024,-,-,943(9),943(8),-,-,-,-,-,-,-,714(8),-,928(2),-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Maheshwara Med Coll, Medak",OBG,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",745,2024,-,-,-,-,-,-,-,-,-,345(1),360(1),720(1),-,-,-,-
WB PG,WB Mgmt Quota,MQ,West Bengal,"ICARE IMS & R, Haldia",GENERAL SURGERY,"₹40,00,000*","₹40,000",0,₹0,Info Not Available,2024,-,-,685(2),683(2),270(2),-,-,-,-,548(2),599(2),724(2),-,234(2),479(2),-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"PSG IMS, Coimbatore",OPHTHALMOLOGY,"₹15,50,000*","₹25,000*",0,₹0,1130,2024,-,347(1),593(1),593(1),-,-,-,-,-,686(1),725(1),725(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Apollo IMSR, Hyderabad",ANAESTHESIOLOGY,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",570,2024,-,514(1),564(1),628(1),628(1),628(1),628(1),-,-,618(1),618(1),742(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Dr Patnam MRInstofMS,Chevella",OBG,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",-,2024,-,341(1),400(1),478(1),478(1),478(1),478(1),-,-,343(1),380(1),755(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mahavir Inst of MS, Vikarabad",OBG,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",700,2024,-,335(1),395(1),412(1),412(1),412(1),412(1),-,-,360(1),367(1),758(1),-,-,-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"Madha Medical College, Chennai",DERMATOLOGY,"₹15,50,000*",Info not available,0,₹0,-,2024,-,-,-,-,-,-,-,-,-,337(1),637(1),758(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mamata AcadofMedSci,Bachupally",GENERAL SURGERY,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",-,2024,-,-,-,-,-,-,-,-,-,676(4),676(4),761(4),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Prathima IMS, Karimnagar",OPHTHALMOLOGY,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",1060,2024,-,446(1),596(1),596(1),596(1),596(1),596(1),-,-,409(1),409(1),771(1),-,-,-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"Tagore Med Coll, Chennai",GENERAL MEDICINE,"₹15,50,000*","₹35,000*",0,₹0,818,2024,-,395(2),395(2),395(2),-,-,-,-,-,381(2),381(2),779(2),-,-,-,-
