Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 3.5,CR 2024 4,CR 2024 5
TN Mgmt Quota,GEN,Tamil Nadu,"PSG IMS, Coimbatore",PSYCHIATRY,"₹15,50,000*","₹25,000*",0,₹0,1130,556(2),811(2),1078(2),-,-,448(2),722(2),1274(2),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Tagore Med Coll, Chennai",ANAESTHESIOLOGY,"₹15,50,000*","₹35,000*",0,₹0,818,778(1),1198(1),1198(1),-,-,1273(1),1275(1),1275(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"PSG IMS, Coimbatore",ANAESTHESIOLOGY,"₹15,50,000*","₹25,000*",0,₹0,1130,444(2),534(2),534(2),-,-,600(2),756(2),1277(2),-,-,-
TN CMC-Minority Network,CMC-Minority Network,Tamil Nadu,"CMC, Vellore",DERMATOLOGY,"₹65,470*","₹51,000",3,"₹40,00,000",2879,438(2),438(2),438(2),-,-,316(2),1284(2),1284(2),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"PSG IMS, Coimbatore",DERMATOLOGY,"₹26,00,000*","₹25,000*",0,₹0,1130,269(2),269(2),269(2),-,-,486(2),1323(2),1323(2),-,-,-
TN CMC-Inst Preference,CMC-Institutional Preference,Tamil Nadu,"CMC, Vellore",ORTHOPAEDICS,"₹65,470*","₹51,000",3,"₹40,00,000",2879,1368(1),1368(1),1368(1),-,-,1336(1),1336(1),1336(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Velammal Med Col, Madurai",PHARMACOLOGY,"₹4,35,000*","₹37,000*",0,₹0,1024,2630(1),2630(1),2630(1),-,-,1338(1),1338(1),1338(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Velammal Med Col, Madurai",ORTHOPAEDICS,"₹15,50,000*","₹37,000*",0,₹0,1024,325(1),664(1),664(1),-,-,572(1),701(1),1344(1),-,1986(1),-
TN CMC-Service,CMC-Service,Tamil Nadu,"CMC, Vellore",FAMILY MEDICINE,"₹65,470*","₹51,000",2,"₹40,00,000",2879,-,1393(1),1393(1),-,-,748(1),1393(1),1393(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"PSG IMS, Coimbatore",ORTHOPAEDICS,"₹26,00,000*","₹25,000*",0,₹0,1130,-,-,-,-,-,1406(1),1406(1),1406(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Madha Medical College, Chennai",OPHTHALMOLOGY,"₹15,50,000*",Info not available,0,₹0,-,-,2335(1),2335(1),-,-,1292(1),1463(1),1463(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Velammal Med Col, Madurai",OBG,"₹26,00,000*","₹37,000*",0,₹0,1024,1128(1),1514(1),1514(1),-,-,1128(1),1261(1),1474(1),-,-,-
TN CMC-Service,CMC-Service,Tamil Nadu,"CMC, Vellore",ENT,"₹65,470*","₹51,000",2,"₹40,00,000",2879,1155(1),1155(1),1155(1),-,-,884(1),1514(1),1514(1),-,-,-
TN CMC-Service,CMC-Service,Tamil Nadu,"CMC, Vellore",RADIATION ONCOLOGY,"₹65,470*","₹51,000",2,"₹40,00,000",2879,1453(1),1453(1),1453(1),-,-,1234(1),1542(1),1542(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Velammal Med Col, Madurai",OPHTHALMOLOGY,"₹15,50,000*","₹37,000*",0,₹0,1024,663(1),1343(1),711(1),1356(1),-,868(1),846(1),1576(1),-,1830(1),-
TN Mgmt Quota,GEN,Tamil Nadu,"Reg CancerCenter,Adyar,Chennai",RADIATION ONCOLOGY,"₹15,50,000*","₹48,000*",0,₹0,535,584(4),869(4),869(4),932(1),-,762(3),963(3),1586(3),-,1789(1),-
TN Mgmt Quota,GEN,Tamil Nadu,"Madha Medical College, Chennai",GENERAL MEDICINE,"₹15,50,000*",Info not available,0,₹0,-,-,-,-,-,-,595(2),842(2),1597(2),-,1929(1),2302(1)
TN Mgmt Quota,GEN,Tamil Nadu,"Tagore Med Coll, Chennai",ORTHOPAEDICS,"₹15,50,000*","₹35,000*",0,₹0,818,529(1),1074(2),1074(2),-,-,921(1),921(1),1604(1),-,3062(1),-
TN Mgmt Quota,GEN,Tamil Nadu,"Madha Medical College, Chennai",ORTHOPAEDICS,"₹15,50,000*",Info not available,0,₹0,-,-,1320(1),1320(1),-,-,1339(1),1623(1),1623(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Madha Medical College, Chennai",OBG,"₹15,50,000*",Info not available,0,₹0,-,-,706(1),706(1),-,-,601(1),305(1),1624(1),-,1674(1),1669(1)
TN CMC-Minority Network,CMC-Minority Network,Tamil Nadu,"CMC, Vellore",OBG,"₹65,470*","₹51,000",3,"₹40,00,000",2879,1601(5),1601(5),1601(5),-,-,1503(6),1627(6),1627(6),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"KarpagaVinayaga,Maduranthagam",GENERAL SURGERY,"₹15,50,000*","₹10,000*",0,₹0,550,777(2),1289(2),1666(2),-,-,699(1),699(1),1628(1),-,2871(1),2901(1)
TN NRI Quota,NRI,Tamil Nadu,"Velammal Med Col, Madurai",DERMATOLOGY,"₹26,00,000*","₹37,000*",0,₹0,1024,317(1),704(1),704(1),-,-,632(1),1629(1),1629(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Karpagam Faculty, Coimbatore",DERMATOLOGY,"₹26,00,000*","₹38,000*",0,₹0,675,936(1),1758(1),1758(1),-,-,1638(1),1638(1),1638(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Trichy SRM Med Coll, Trichy",RADIO DIAGNOSIS,"₹26,00,000*","₹35,000*",0,₹0,1575,825(2),1040(2),1040(2),-,-,1362(3),1680(3),1680(3),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Madha Medical College, Chennai",PAEDIATRICS,"₹15,50,000*",Info not available,0,₹0,-,-,-,-,-,-,642(1),930(1),1681(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Dhanalakshmi Srin, Perambalur",PAEDIATRICS,"₹15,50,000*","₹35,000*",0,₹0,800,335(1),688(1),1020(1),-,-,542(1),767(1),1687(2),-,1975(1),2521(1)
TN Mgmt Quota,GEN,Tamil Nadu,"Tagore Med Coll, Chennai",TBRD,"₹15,50,000*","₹35,000*",0,₹0,818,417(1),1151(1),1151(1),-,-,787(1),787(1),1700(1),-,-,-
TN CMC-Inst Preference,CMC-Institutional Preference,Tamil Nadu,"CMC, Vellore",PSYCHIATRY,"₹65,470*","₹51,000",3,"₹40,00,000",2879,-,2087(1),2087(1),-,-,1709(1),1709(1),1709(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Tagore Med Coll, Chennai",GENERAL MEDICINE,"₹26,00,000*","₹35,000*",0,₹0,818,1442(1),1442(1),1442(1),-,-,1733(1),1733(1),1733(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"KarpagaVinayaga,Maduranthagam",GENERAL MEDICINE,"₹15,50,000*","₹10,000*",0,₹0,550,-,-,-,-,-,610(3),761(3),1769(3),-,2467(1),2489(1)
TN NRI Quota,NRI,Tamil Nadu,"KarpagaVinayaga,Maduranthagam",RADIO DIAGNOSIS,"₹26,00,000*","₹10,000*",0,₹0,550,974(1),1487(1),1599(1),-,-,630(1),1799(1),1799(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Mookambika IMS, Kanyakumari",GENERAL SURGERY,"₹15,50,000*","₹15,000*",0,₹0,600,-,1788(4),1761(3),1880(1),-,-,-,1813(2),-,3078(1),-
TN NRI Quota,NRI,Tamil Nadu,Melmaruvathur Adiparasakthi,GENERAL MEDICINE,"₹26,00,000*","₹35,000*",0,₹0,700,1285(1),1103(1),1103(1),-,-,1821(1),1821(1),1821(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Dhanalakshmi Srin, Perambalur",TBRD,"₹15,50,000*","₹35,000*",0,₹0,800,599(1),599(1),599(1),-,-,611(1),1003(1),1866(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Karpagam Faculty, Coimbatore",RADIO DIAGNOSIS,"₹26,00,000*","₹38,000*",0,₹0,675,1014(1),1014(1),1014(1),-,-,496(1),788(1),1868(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Tagore Med Coll, Chennai",DERMATOLOGY,"₹26,00,000*","₹35,000*",0,₹0,818,1120(1),1120(1),1120(1),-,-,1323(1),1884(1),1884(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Tagore Med Coll, Chennai",ENT,"₹15,50,000*","₹35,000*",0,₹0,818,-,-,-,-,-,828(1),1249(1),1888(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Velammal Med Col, Madurai",PSYCHIATRY,"₹15,50,000*","₹37,000*",0,₹0,1024,795(1),1193(1),954(1),-,-,825(1),1027(1),1893(1),-,-,-
TN Mgmt-Telugu Min,Telugu Minority,Tamil Nadu,"Dhanalakshmi Srin, Perambalur",DERMATOLOGY,"₹15,50,000*","₹35,000*",0,₹0,800,605(1),1501(1),1501(1),-,-,725(1),1441(1),1902(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Velammal Med Col, Madurai",ANAESTHESIOLOGY,"₹15,50,000*","₹37,000*",0,₹0,1024,635(2),954(2),730(2),-,-,791(2),791(2),1927(2),-,-,-
TN Mgmt-Telugu Min,Telugu Minority,Tamil Nadu,"Karpagam Faculty, Coimbatore",ENT,"₹15,50,000*","₹38,000*",0,₹0,675,1501(1),2961(1),2961(1),-,-,1241(1),1241(1),1959(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,Melmaruvathur Adiparasakthi,ORTHOPAEDICS,"₹26,00,000*","₹35,000*",0,₹0,700,1168(1),-,-,-,-,1991(1),1991(1),1991(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"KarpagaVinayaga,Maduranthagam",ORTHOPAEDICS,"₹15,50,000*","₹10,000*",0,₹0,550,-,-,-,-,-,1134(2),1837(2),1997(2),-,3367(1),-
TN CMC-Minority Network,CMC-Minority Network,Tamil Nadu,"CMC, Vellore",ANAESTHESIOLOGY,"₹65,470*","₹51,000",3,"₹40,00,000",2879,1518(12),1518(12),1518(12),-,-,1858(11),1985(11),1999(11),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Joseph Eye Hosp, Trichy",OPHTHALMOLOGY,"₹15,50,000*","₹48,000*",2*,"₹40,00,000*",450,524(4),1013(4),1013(4),-,-,1089(4),966(4),2005(4),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"PSG IMS, Coimbatore",GENERAL SURGERY,"₹26,00,000*","₹25,000*",0,₹0,1130,809(1),809(1),809(1),-,-,957(1),957(1),2018(1),-,-,-
TN CMC-Minority Network,CMC-Minority Network,Tamil Nadu,"CMC, Vellore",RADIATION ONCOLOGY,"₹65,470*","₹51,000",3,"₹40,00,000",2879,1989(3),1989(3),1989(3),-,-,2031(3),2031(3),2031(3),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Trichy SRM Med Coll, Trichy",DERMATOLOGY,"₹26,00,000*","₹35,000*",0,₹0,1575,844(1),844(1),844(1),-,-,1619(1),2038(1),2038(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"PSG IMS, Coimbatore",OBG,"₹26,00,000*","₹25,000*",0,₹0,1130,758(2),1128(2),1128(2),-,-,765(2),1128(2),2041(2),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Sri Muthukumaran, Chennai",OBG,"₹26,00,000*","₹25,000",0,₹0,720,2014(1),2857(1),2857(1),-,-,2064(1),2064(1),2064(1),-,-,-
TN CMC-General Merit,CMC-General Merit,Tamil Nadu,"CMC, Vellore",PATHOLOGY,"₹65,470*","₹51,000",0,₹0,2879,396(2),829(2),829(2),-,-,323(2),467(2),2075(2),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"PSG IMS, Coimbatore",PAEDIATRICS,"₹26,00,000*","₹25,000*",0,₹0,1130,708(2),708(2),708(2),-,-,545(2),1034(2),2091(2),-,-,-
TN Mgmt-Telugu Min,Telugu Minority,Tamil Nadu,"Sri Muthukumaran, Chennai",PSYCHIATRY,"₹15,50,000*","₹25,000",0,₹0,720,-,-,-,-,-,2102(1),2102(1),2102(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Dhanalakshmi Srin, Perambalur",RADIO DIAGNOSIS,"₹26,00,000*","₹35,000*",0,₹0,800,1040(1),1565(1),1565(1),-,-,1479(1),1479(1),2104(2),-,-,-
