Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 3
AFMS,Priority - Undefined,Maharashtra,"AFMC, Pune",PSYCHIATRY,Info not available,"₹77,869",5*,"₹57,50,000*",1082,37276(5)
AFMS,Priority - Undefined,Karnataka,"Command Hospital, Bangalore",OBG,Info not available,"₹45,000",5*,"₹57,50,000*",716,37416(2)
AFMS,Priority - Undefined,Maharashtra,"AFMC, Pune",OBG,Info not available,"₹77,869",5*,"₹57,50,000*",1082,38057(8)
AFMS,Priority - IV,Delhi,"Army R&R, Delhi",ANAESTHESIOLOGY,Info not available,"₹1,17,000*",5*,"₹57,50,000*",995,38156(1)
AFMS,Priority - Undefined,Maharashtra,"AFMC, Pune",GENERAL SURGERY,Info not available,"₹77,869",5*,"₹57,50,000*",1082,39223(7)
AFMS,Priority - Undefined,Karnataka,"Command Hospital, Bangalore",PATHOLOGY,Info not available,"₹45,000",5*,"₹57,50,000*",716,40083(1)
AFMS,Priority - Undefined,Maharashtra,"INHS, Aswini",OBG,Info not available,"₹77,869",5*,"₹57,50,000*",825,40173(3)
AFMS,Priority - V,Maharashtra,"INHS, Aswini",OPHTHALMOLOGY,Info not available,"₹77,869",5*,"₹57,50,000*",825,40190(1)
AFMS,Priority - Undefined,Uttar Pradesh,"Command Hospital, Lucknow",OBG,Info not available,"₹95,000*",5*,"₹57,50,000*",780,40884(2)
AFMS,Priority - Undefined,Uttar Pradesh,"Command Hospital, Lucknow",GENERAL SURGERY,Info not available,"₹95,000*",5*,"₹57,50,000*",780,41437(2)
AFMS,Priority - IV,Delhi,"Army R&R, Delhi",GENERAL SURGERY,Info not available,"₹1,17,000*",5*,"₹57,50,000*",995,42443(3)
AFMS,Priority - Undefined,Maharashtra,"AFMC, Pune",DERMATOLOGY,Info not available,"₹77,869",5*,"₹57,50,000*",1082,42706(4)
AFMS,Priority - Undefined,Maharashtra,"INHS, Aswini",GENERAL SURGERY,Info not available,"₹77,869",5*,"₹57,50,000*",825,42721(4)
AFMS,Priority - Undefined,West Bengal,"Command Hospital, Kolkata",GENERAL SURGERY,Info not available,"₹46,383",5*,"₹57,50,000*",760,42934(3)
AFMS,Priority - Undefined,Maharashtra,"INHS, Aswini",PSYCHIATRY,Info not available,"₹77,869",5*,"₹57,50,000*",825,43109(2)
AFMS,Priority - Undefined,Delhi,"Army R&R, Delhi",MICROBIOLOGY,Info not available,"₹1,17,000*",5*,"₹57,50,000*",995,43418(1)
AFMS,Priority - Undefined,Karnataka,"Command Hospital, Bangalore",ANAESTHESIOLOGY,Info not available,"₹45,000",5*,"₹57,50,000*",716,44102(4)
AFMS,Priority - V,Maharashtra,"INHS, Aswini",GENERAL SURGERY,Info not available,"₹77,869",5*,"₹57,50,000*",825,44595(1)
AFMS,Priority - III,Maharashtra,"INHS, Aswini",RADIO DIAGNOSIS,Info not available,"₹77,869",5*,"₹57,50,000*",825,45757(1)
AFMS,Priority - Undefined,Uttar Pradesh,"Command Hospital, Lucknow",ANAESTHESIOLOGY,Info not available,"₹95,000*",5*,"₹57,50,000*",780,45888(1)
AFMS,Priority - Undefined,West Bengal,"Command Hospital, Kolkata",GENERAL MEDICINE,Info not available,"₹46,383",5*,"₹57,50,000*",760,45889(2)
AFMS,Priority - Undefined,Maharashtra,"INHS, Aswini",ANAESTHESIOLOGY,Info not available,"₹77,869",5*,"₹57,50,000*",825,45956(2)
