Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2024 6
TELMgmt-MQ3-CatC-Inst,MQ3,Telangana,"CAIMS, Karimnagar",OPHTHALMOLOGY,"₹72,00,000*",Info not available*,1*,"₹20,00,000*",1000,-,-,-,-,-,1405(1),-,-,-,-,-,-
TELMgmt-MQ3-CatC-Inst,MQ3,Telangana,"Malla Reddy(Women), Hyderabad",PSYCHIATRY,-,-,-,-,1050,-,-,-,-,-,1407(1),-,-,-,-,-,-
TELMgmt-MQ3-CatC-Inst,MQ3,Telangana,"RVM IMSRC, Siddipet",TBRD,"₹69,00,000*",Info not available*,1*,"₹20,00,000*",1110,-,-,-,-,-,1411(1),-,-,-,-,-,-
TELMgmt-MQ3-CatC-Inst,MQ3-MSM,Telangana,"Shadan IMSRC, Peerancheru",DERMATOLOGY,"₹72,00,000*",Info not available*,1*,"₹20,00,000*",800,-,-,-,-,-,1413(1),-,-,-,-,-,-
TELMgmt-MQ3-CatC-Inst,MQ3-MSM,Telangana,"DCMS, Hyderabad",DERMATOLOGY,"₹72,00,000*",Info not available*,1*,"₹20,00,000*",1400,-,-,-,-,-,1415(1),-,-,-,-,-,-
TELMgmt-MQ2-CatC-NRI,MQ2,Telangana,"Apollo IMSR, Hyderabad",PAEDIATRICS,"₹69,00,000*",Info not available*,1*,"₹20,00,000*",570,1270(1),1430(1),1430(1),1430(1),1430(1),1430(1),-,-,-,-,-,-
TELMgmt-MQ3-CatC-Inst,MQ3,Telangana,"Malla Reddy IMS, Hyderabad",PATHOLOGY,-,-,-,-,940,-,-,-,-,-,1456(1),-,-,-,-,-,-
TELMgmt-MQ3-CatC-Inst,MQ3,Telangana,"Mediciti IMS, Ghanpur",PAEDIATRICS,"₹69,00,000*",Info not available*,1*,"₹20,00,000*",720,-,-,-,-,-,1496(1),-,-,-,-,-,-
TELMgmt-MQ3-CatC-Inst,MQ3,Telangana,"Dr Patnam MRInstofMS,Chevella",RADIO DIAGNOSIS,"₹69,00,000*",Info not available*,1*,"₹20,00,000*",-,-,-,-,-,-,1497(1),-,-,-,-,-,-
TELMgmt-MQ3-CatC-Inst,MQ3,Telangana,"Mediciti IMS, Ghanpur",OPHTHALMOLOGY,"₹69,00,000*",Info not available*,1*,"₹20,00,000*",720,-,-,-,-,-,1501(1),-,-,-,-,-,-
TELMgmt-MQ3-CatC-Inst,MQ3-MSM,Telangana,"DrVRK Womens MedColl,Aziznagar",OBG,"₹69,00,000*",Info not available*,1*,"₹20,00,000*",500,-,-,-,-,-,1509(1),-,-,-,-,-,-
TELMgmt-MQ3-CatC-Inst,MQ3,Telangana,"Mediciti IMS, Ghanpur",DERMATOLOGY,"₹69,00,000*",Info not available*,1*,"₹20,00,000*",720,-,-,-,-,-,1517(1),-,-,-,-,-,-
TELMgmt-MQ3-CatC-Inst,MQ3,Telangana,"CAIMS, Karimnagar",TBRD,"₹72,00,000*",Info not available*,1*,"₹20,00,000*",1000,-,-,-,-,-,1528(1),-,-,-,-,-,-
TELMgmt-MQ2-CatC-NRI,MQ2,Telangana,"Kamineni (KAMSRC), Hyderabad",PAEDIATRICS,"₹69,00,000*",Info not available*,1*,"₹20,00,000*",650,1301(1),1493(1),1529(1),1529(1),1529(1),1529(1),-,-,-,-,-,-
TELMgmt-MQ2-CatC-NRI,MQ2,Telangana,"Prathima IMS, Karimnagar",ENT,"₹69,00,000*",Info not available*,1*,"₹20,00,000*",1060,-,1532(1),1532(1),1532(1),1532(1),1532(1),-,-,-,-,-,-
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Prathima IMS, Karimnagar",PHYSIOLOGY,"₹1,87,000*",Info not available*,1*,"₹20,00,000*",1060,-,1533(1),1533(1),1533(1),1533(1),1533(1),-,-,-,-,-,-
TELMgmt-MQ2-CatC-NRI,MQ2,Telangana,"CAIMS, Karimnagar",MICROBIOLOGY,"₹15,90,000*",Info not available*,1*,"₹20,00,000*",1000,-,1536(1),1536(1),1536(1),1536(1),1536(1),-,-,-,-,-,-
TELMgmt-MQ2-CatC-NRI,MQ2,Telangana,"Malla Reddy(Women), Hyderabad",GENERAL SURGERY,-,-,-,-,1050,-,1567(1),1567(1),1567(1),1567(1),1567(1),-,-,-,-,-,-
TELMgmt-MQ2-CatC-NRI,MQ2,Telangana,"RVM IMSRC, Siddipet",GENERAL MEDICINE,"₹69,00,000*",Info not available*,1*,"₹20,00,000*",1110,-,1593(1),1593(1),1593(1),1593(1),1593(1),-,-,-,-,-,-
TELMgmt-MQ3-CatC-Inst,MQ3,Telangana,"RVM IMSRC, Siddipet",DERMATOLOGY,"₹69,00,000*",Info not available*,1*,"₹20,00,000*",1110,-,-,-,-,-,1611(1),-,-,-,-,-,-
TELMgmt-MQ3-CatC-Inst,MQ3,Telangana,"RVM IMSRC, Siddipet",RADIO DIAGNOSIS,"₹69,00,000*",Info not available*,1*,"₹20,00,000*",1110,-,-,-,-,-,1614(1),-,-,-,-,-,-
TELMgmt-MQ2-CatC-NRI,MQ2,Telangana,"Kamineni (KAMSRC), Hyderabad",PATHOLOGY,"₹16,35,000*",Info not available*,1*,"₹20,00,000*",650,1345(1),1621(1),1621(1),1621(1),1621(1),1621(1),-,-,-,-,-,-
TELMgmt-MQ3-CatC-Inst,MQ3,Telangana,"RVM IMSRC, Siddipet",PAEDIATRICS,"₹69,00,000*",Info not available*,1*,"₹20,00,000*",1110,-,-,-,-,-,1626(1),-,-,-,-,-,-
TELMgmt-MQ2-CatC-NRI,MQ2,Telangana,"Malla Reddy IMS, Hyderabad",GENERAL SURGERY,-,-,-,-,940,1351(3),1636(4),1636(4),1636(4),1636(4),1636(4),-,-,-,-,-,-
TELMgmt-MQ3-CatC-Inst,MQ3,Telangana,"Bhaskar Med Coll, Yenkapally",ENT,"₹69,00,000*",Info not available*,1*,"₹20,00,000*",850,-,-,-,-,-,1646(1),-,-,-,-,-,-
TELMgmt-MQ3-CatC-Inst,MQ3,Telangana,"CAIMS, Karimnagar",OBG,"₹72,00,000*",Info not available*,1*,"₹20,00,000*",1000,-,-,-,-,-,1655(1),-,-,-,-,-,-
TELMgmt-MQ1-CatB-All,MQ1-MSM,Telangana,"DCMS, Hyderabad",MICROBIOLOGY,"₹5,30,000*",Info not available*,1*,"₹20,00,000*",1400,-,1664(1),1664(1),1664(1),1664(1),1664(1),-,-,-,-,-,-
TELMgmt-MQ2-CatC-NRI,MQ2,Telangana,"Kamineni IMS, Narketpally",OPHTHALMOLOGY,"₹69,00,000*",Info not available*,1*,"₹20,00,000*",1060,1064(1),1675(1),1675(1),1675(1),1675(1),1675(1),-,-,-,-,-,-
TELMgmt-MQ2-CatC-NRI,MQ2,Telangana,"Dr Patnam MRInstofMS,Chevella",PSYCHIATRY,"₹69,00,000*",Info not available*,1*,"₹20,00,000*",-,-,1676(1),1676(1),1676(1),1676(1),1676(1),-,-,-,-,-,-
TELMgmt-MQ3-CatC-Inst,MQ3-MSM,Telangana,"DCMS, Hyderabad",PATHOLOGY,"₹15,90,000*",Info not available*,1*,"₹20,00,000*",1400,-,-,-,-,-,1679(1),-,-,-,-,-,-
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Malla Reddy IMS, Hyderabad",SPM,-,-,-,-,940,-,1685(1),1685(1),1685(1),1685(1),1685(1),-,-,-,-,-,-
TELMgmt-MQ2-CatC-NRI,MQ2,Telangana,"Malla Reddy IMS, Hyderabad",OPHTHALMOLOGY,-,-,-,-,940,-,1687(2),1687(2),1687(2),1687(2),1687(2),-,-,-,-,-,-
TELMgmt-MQ3-CatC-Inst,MQ3,Telangana,"Malla Reddy IMS, Hyderabad",OBG,-,-,-,-,940,-,-,-,-,-,1706(2),-,-,-,-,-,-
TELMgmt-MQ2-CatC-NRI,MQ2,Telangana,"RVM IMSRC, Siddipet",OPHTHALMOLOGY,"₹69,00,000*",Info not available*,1*,"₹20,00,000*",1110,-,1709(1),1709(1),1709(1),1709(1),1709(1),-,-,-,-,-,-
TELMgmt-MQ2-CatC-NRI,MQ2,Telangana,"Prathima IMS, Karimnagar",DERMATOLOGY,"₹69,00,000*",Info not available*,1*,"₹20,00,000*",1060,836(1),1514(1),1721(1),1721(1),1721(1),1721(1),-,-,-,-,-,-
TELMgmt-MQ3-CatC-Inst,MQ3,Telangana,"Malla Reddy IMS, Hyderabad",OPHTHALMOLOGY,-,-,-,-,940,-,-,-,-,-,1729(1),-,-,-,-,-,-
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Malla Reddy(Women), Hyderabad",EMERGENCY MEDICINE,-,-,-,-,1050,551(1),586(1),1197(1),1378(1),1735(1),1735(1),-,-,-,-,-,-
TELMgmt-MQ3-CatC-Inst,MQ3,Telangana,"Malla Reddy(Women), Hyderabad",EMERGENCY MEDICINE,-,-,-,-,1050,-,-,-,-,-,1772(1),-,-,-,-,-,-
TELMgmt-MQ3-CatC-Inst,MQ3,Telangana,"Mamata Med Coll, Khammam",OPHTHALMOLOGY,"₹69,00,000*",Info not available*,1*,"₹20,00,000*",1080,-,-,-,-,-,1791(1),-,-,-,-,-,-
TELMgmt-MQ3-CatC-Inst,MQ3,Telangana,"Malla Reddy IMS, Hyderabad",RADIO DIAGNOSIS,-,-,-,-,940,-,-,-,-,-,1794(2),-,-,-,-,-,-
TELMgmt-MQ2-CatC-NRI,MQ2,Telangana,"SVS Med Coll, Mehboobnagar",DERMATOLOGY,"₹72,00,000*",Info not available*,1*,"₹20,00,000*",760,795(1),1441(1),1803(1),1803(1),1803(1),1803(1),-,-,-,-,-,-
TELMgmt-MQ3-CatC-Inst,MQ3-MSM,Telangana,"Shadan IMSRC, Peerancheru",PAEDIATRICS,"₹72,00,000*",Info not available*,1*,"₹20,00,000*",800,-,-,-,-,-,1815(1),-,-,-,-,-,-
TELMgmt-MQ3-CatC-Inst,MQ3,Telangana,"Apollo IMSR, Hyderabad",DERMATOLOGY,"₹69,00,000*",Info not available*,1*,"₹20,00,000*",570,-,-,-,-,-,1825(1),-,-,-,-,-,-
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mahavir Inst of MS, Vikarabad",BIOCHEMISTRY,"₹1,70,000*",Info not available*,1*,"₹20,00,000*",700,-,1844(1),1844(1),1844(1),1844(1),1844(1),-,-,-,-,-,-
TELMgmt-MQ2-CatC-NRI,MQ2,Telangana,"Kamineni (KAMSRC), Hyderabad",TBRD,"₹69,00,000*",Info not available*,1*,"₹20,00,000*",650,-,1537(1),1847(1),1847(1),1847(1),1847(1),-,-,-,-,-,-
