Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
HP Govt Quota,ST-GDO,Himachal Pradesh,"RPG, Tanda",PAEDIATRICS,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,-,-,-,-,-,502(1),-,-,-,-
HP Govt Quota,SC,Himachal Pradesh,"IGMC, Shimla",PHYSIOLOGY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,-,-,-,-,-,524(1),-,-,-,-
HP Govt Quota,SC-GDO,Himachal Pradesh,"IGMC, Shimla",RADIO DIAGNOSIS,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,-,-,-,-,-,547(2),-,-,-,-
HP Private-StateQuota,GEN,Himachal Pradesh,"MMU, Solan",PAEDIATRICS,"₹27,67,800*","₹40,000",1,"₹10,00,000",720,-,-,-,-,-,317(1),552(1),-,-,-
HP Govt Quota,ST,Himachal Pradesh,"IGMC, Shimla",PATHOLOGY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,-,-,-,-,-,587(1),-,-,-,-
HP Priv All,GEN,Himachal Pradesh,"MMU, Solan",PAEDIATRICS,"₹27,67,800*","₹40,000",1,"₹10,00,000",720,-,546(3),-,-,-,241(2),591(2),-,-,-
HP Govt Quota,SC-GDO,Himachal Pradesh,"IGMC, Shimla",OPHTHALMOLOGY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,-,-,-,-,-,604(1),-,-,-,-
HP Govt Quota,SC-GDO,Himachal Pradesh,"RPG, Tanda",GENERAL MEDICINE,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,-,-,-,-,-,606(1),-,-,-,-
HP Govt Quota,ST-GDO,Himachal Pradesh,"IGMC, Shimla",PSYCHIATRY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,-,-,-,-,-,614(1),-,-,-,-
HP Govt Quota,GEN-PHY,Himachal Pradesh,"RPG, Tanda",GENERAL MEDICINE,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,-,-,-,-,-,626(1),-,-,-,-
HP Govt Quota,GEN-GDO,Himachal Pradesh,"RPG, Tanda",SPM,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,94(1),271(2),308(1),-,-,532(1),632(1),-,-,-
HP Govt Quota,SC-GDO,Himachal Pradesh,"RPG, Tanda",ORTHOPAEDICS,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,-,-,-,-,-,711(1),-,-,-,-
HP Govt Quota,SC-GDO,Himachal Pradesh,"IGMC, Shimla",PAEDIATRICS,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,-,-,-,-,-,712(2),-,-,-,-
HP Private-StateQuota,GEN-GDO,Himachal Pradesh,"MMU, Solan",PSYCHIATRY,"₹23,47,800*","₹40,000",1,"₹10,00,000",720,-,-,460(1),-,-,759(1),-,-,-,-
HP Priv All,GEN,Himachal Pradesh,"MMU, Solan",TBRD,"₹23,47,800*","₹40,000",1,"₹10,00,000",720,-,-,-,-,-,326(1),767(1),-,-,-
HP Govt Quota,GEN-GDO,Himachal Pradesh,"LalBahShastri Govt Med, Mandi",PHARMACOLOGY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",500,127(1),-,-,-,-,-,808(1),-,-,-
HP Govt Quota,SC,Himachal Pradesh,"IGMC, Shimla",ANAESTHESIOLOGY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,-,-,-,-,-,176(1),823(1),-,-,-
HP Priv All,GEN,Himachal Pradesh,"MMU, Solan",ORTHOPAEDICS,"₹27,67,800*","₹40,000",1,"₹10,00,000",720,15(1),686(3),-,-,-,298(3),837(3),-,-,-
HP Private-StateQuota,GEN-GDO,Himachal Pradesh,"MMU, Solan",RADIO DIAGNOSIS,"₹33,39,600*","₹40,000",1,"₹10,00,000",720,192(2),668(2),-,-,-,840(1),723(1),-,-,-
HP Govt Quota,SC-GDO,Himachal Pradesh,"RPG, Tanda",OBG,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,-,-,-,-,-,846(1),-,-,-,-
HP Private-StateQuota,GEN,Himachal Pradesh,"MMU, Solan",ANATOMY,"₹3,00,000*","₹40,000",1,"₹10,00,000",720,-,-,-,-,-,872(1),-,-,-,-
HP Private-StateQuota,GEN,Himachal Pradesh,"MMU, Solan",ANAESTHESIOLOGY,"₹19,31,600*","₹40,000",1,"₹10,00,000",720,-,-,-,-,-,585(1),886(1),-,-,-
HP Govt Quota,ST-GDO,Himachal Pradesh,"IGMC, Shimla",ORTHOPAEDICS,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,-,161(1),-,-,-,722(1),893(1),-,-,-
