Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2023 7,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"GreatEastern MedSch,Srikakulam",OBG,"₹9,93,600*",Info not available*,1*,Info not available*,780,206(2),737(2),-,-,-,-,-,436(2),569(2),1109(2),-
APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"NRI Med Coll, Guntur",ANAESTHESIOLOGY,"₹9,93,600*","₹27,000*",1*,Info not available*,1050,448(1),1328(1),1707(1),-,-,-,-,509(1),868(1),1128(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Katuri Med Coll, Guntur",OBG,"₹9,93,600*",Info not available*,1*,Info not available*,1100,340(2),1312(2),1645(1),-,-,-,-,508(2),524(2),1137(2),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Alluri Sitaram Raju, Eluru",OPHTHALMOLOGY,"₹9,93,600*","₹30,000*",1*,Info not available*,1200,554(1),1865(1),-,-,-,-,-,863(1),863(1),1138(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Maharajah IMS, Vizianagaram",OBG,"₹9,93,600*",Info not available*,1*,Info not available*,850,372(3),1554(3),-,-,-,-,-,524(2),598(2),1141(2),154(1)
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"GreatEastern MedSch,Srikakulam",GENERAL SURGERY,"₹9,93,600*",Info not available*,1*,Info not available*,780,442(3),1815(3),2295(1),-,-,-,-,718(3),763(3),1156(3),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"NRI Med Coll, Guntur",ENT,"₹9,93,600*","₹27,000*",1*,Info not available*,1050,519(1),1957(1),-,-,-,-,-,530(1),530(1),1165(1),-
APMgmt-S2-CatC-NRI,S2,Andhra Pradesh,"Maharajah IMS, Vizianagaram",DERMATOLOGY,"₹57,50,000*",Info not available*,1*,Info not available*,850,1867(1),2294(1),-,-,-,-,-,1957(1),1152(1),1168(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Konaseema IMS, Amalapuram",OBG,"₹9,93,600*","₹30,000*",1*,Info not available*,840,334(3),1375(3),-,-,-,-,-,447(3),515(3),1197(3),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Santhiram Med Coll, Nandyal",TBRD,"₹9,93,600*","₹30,000*",1*,Info not available*,930,381(1),1497(1),-,-,-,-,-,655(1),624(1),1220(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Narayana Med Coll, Nellore",TBRD,"₹9,93,600*","₹40,000*",1*,Info not available*,1430,377(1),1327(1),-,-,-,-,-,409(1),445(1),1222(1),-
