Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
Assam Govt Quota,EWS,Assam,"Gauhati Med Coll, Guwahati",ANAESTHESIOLOGY,"₹17,900*","₹55,200*",2*,"₹20,00,000*",2185,266(1),266(1),266(1),-,-,-,135(1),308(1),308(1),-,-
Assam Govt Quota,ST(P),Assam,"Assam Med Coll, Dibrugarh",GENERAL MEDICINE,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1365,543(1),543(1),543(1),-,-,-,310(1),310(1),310(1),-,-
Assam Govt Quota,EWS,Assam,"Gauhati Med Coll, Guwahati",ENT,"₹17,900*","₹55,200*",2*,"₹20,00,000*",2185,-,-,-,-,-,-,-,312(1),312(1),-,-
Assam Govt Quota,OBC/MOBC,Assam,"Jorhat Med Coll, Jorhat",OBG,"₹17,900*","₹55,200*",2*,"₹20,00,000*",814,148(1),148(1),148(1),-,-,-,239(1),316(1),316(1),-,-
Assam Govt Quota,UR,Assam,"Assam Med Coll, Dibrugarh",GENERAL SURGERY,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1365,250(6),274(6),302(6),237(1),337(1),-,188(3),301(6),323(6),430(1),-
Assam Govt Quota,UR,Assam,"Jorhat Med Coll, Jorhat",ENT,"₹17,900*","₹55,200*",2*,"₹20,00,000*",814,-,-,-,-,-,-,193(1),324(1),324(1),-,-
Assam Govt Quota,OBC/MOBC,Assam,"Jorhat Med Coll, Jorhat",PAEDIATRICS,"₹17,900*","₹55,200*",2*,"₹20,00,000*",814,158(1),158(1),158(1),-,-,-,235(1),326(1),326(1),-,-
Assam Govt Quota,SC,Assam,"Fakhruddin Ali Ahmed, Barpeta",GENERAL MEDICINE,"₹17,900*","₹55,200*",2*,"₹20,00,000*",470,288(1),288(1),443(1),-,-,-,332(1),332(1),332(1),-,-
Assam Govt Quota,UR,Assam,"Gauhati Med Coll, Guwahati",EMERGENCY MEDICINE,"₹17,900*","₹55,200*",2*,"₹20,00,000*",2185,217(2),262(2),272(2),-,-,-,125(2),303(2),335(2),386(2),446(1)
Assam Govt Quota,OBC/MOBC,Assam,"Silchar Med Coll, Silchar",OBG,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1256,-,-,-,-,-,-,269(1),337(1),337(1),-,-
Assam Govt Quota,EWS,Assam,"Silchar Med Coll, Silchar",OPHTHALMOLOGY,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1256,-,-,-,-,-,-,-,338(1),338(1),-,-
Assam Govt Quota,EWS,Assam,"Assam Med Coll, Dibrugarh",GENERAL SURGERY,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1365,269(1),269(1),269(1),-,-,-,260(1),343(1),343(1),-,-
Assam Govt Quota,OBC/MOBC,Assam,"Silchar Med Coll, Silchar",GENERAL SURGERY,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1256,228(1),228(1),267(1),-,-,-,238(2),345(3),345(3),-,-
Assam Govt Quota,ST(P),Assam,"Gauhati Med Coll, Guwahati",OBG,"₹17,900*","₹55,200*",2*,"₹20,00,000*",2185,573(1),573(1),573(1),-,-,-,160(1),579(1),348(1),-,-
Assam Govt Quota,EWS,Assam,"Tezpur Med Coll, Tezpur",GENERAL SURGERY,"₹17,900*","₹55,200*",2*,"₹20,00,000*",500,-,-,-,-,-,-,-,292(1),352(1),-,-
Assam Govt Quota,UR,Assam,"Assam Med Coll, Dibrugarh",ANAESTHESIOLOGY,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1365,277(5),298(5),329(5),-,-,-,164(4),317(2),353(5),-,-
Assam Govt Quota,EWS,Assam,"Tezpur Med Coll, Tezpur",ENT,"₹17,900*","₹55,200*",2*,"₹20,00,000*",500,282(1),282(1),282(1),-,-,-,274(1),358(1),358(1),-,-
Assam Govt Quota,UR,Assam,"Jorhat Med Coll, Jorhat",ANAESTHESIOLOGY,"₹17,900*","₹55,200*",2*,"₹20,00,000*",814,290(1),301(1),298(1),366(1),-,-,182(1),327(1),364(1),-,-
Assam Govt Quota,UR,Assam,"Silchar Med Coll, Silchar",ANAESTHESIOLOGY,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1256,275(1),275(1),275(1),-,-,-,177(1),353(1),365(1),-,-
Assam Govt Quota,OBC/MOBC,Assam,"Silchar Med Coll, Silchar",PAEDIATRICS,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1256,125(1),125(1),171(1),-,-,-,231(1),366(1),366(1),-,-
Assam Govt Quota,UR,Assam,"Dr B Borooah, Guwahati",RADIATION ONCOLOGY,"₹1,05,000*","₹1,00,800",1*,"₹25,00,000*",275,234(1),234(1),234(1),-,-,-,224(2),371(2),371(2),-,-
Assam Govt Quota,ST(P),Assam,"Silchar Med Coll, Silchar",DERMATOLOGY,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1256,295(1),295(1),295(1),-,-,-,262(1),374(1),374(1),-,-
Assam Govt Quota,UR,Assam,"Fakhruddin Ali Ahmed, Barpeta",ANAESTHESIOLOGY,"₹17,900*","₹55,200*",2*,"₹20,00,000*",470,299(2),314(2),335(2),-,-,-,-,328(1),375(1),-,-
Assam Govt Quota,OBC/MOBC,Assam,"Silchar Med Coll, Silchar",ANAESTHESIOLOGY,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1256,-,-,-,-,-,-,286(1),381(1),381(1),-,-
Assam Govt Quota,UR,Assam,"Tezpur Med Coll, Tezpur",PSYCHIATRY,"₹17,900*","₹55,200*",2*,"₹20,00,000*",500,-,-,-,-,-,-,-,382(1),382(1),-,-
Assam Govt Quota,OBC/MOBC,Assam,"Tezpur Med Coll, Tezpur",GENERAL SURGERY,"₹17,900*","₹55,200*",2*,"₹20,00,000*",500,257(1),257(1),289(1),-,-,-,266(1),287(1),383(1),-,452(1)
Assam Govt Quota,UR,Assam,"Tezpur Med Coll, Tezpur",ANAESTHESIOLOGY,"₹17,900*","₹55,200*",2*,"₹20,00,000*",500,268(1),310(1),320(1),-,-,-,178(1),-,385(1),-,-
Assam Govt Quota,OBC/MOBC,Assam,"Assam Med Coll, Dibrugarh",ORTHOPAEDICS,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1365,-,-,-,-,-,-,261(1),387(1),387(1),-,-
Assam Govt Quota,EWS,Assam,"Assam Med Coll, Dibrugarh",ANAESTHESIOLOGY,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1365,283(1),283(1),283(1),-,-,-,246(1),372(1),389(1),-,-
Assam Govt Quota,ST(P),Assam,"Gauhati Med Coll, Guwahati",GENERAL MEDICINE,"₹17,900*","₹55,200*",2*,"₹20,00,000*",2185,491(1),491(1),491(1),-,-,-,149(1),-,392(1),-,-
Assam Govt Quota,UR,Assam,"Gauhati Med Coll, Guwahati",RADIATION ONCOLOGY,"₹17,900*","₹55,200*",2*,"₹20,00,000*",2185,339(2),339(2),427(2),442(1),458(1),-,148(1),393(1),393(1),-,-
Assam Govt Quota,OBC/MOBC,Assam,"Gauhati Med Coll, Guwahati",PSYCHIATRY,"₹17,900*","₹55,200*",2*,"₹20,00,000*",2185,264(1),264(1),264(1),-,-,-,383(1),398(1),398(1),-,-
Assam Govt Quota,OBC/MOBC,Assam,"Jorhat Med Coll, Jorhat",ENT,"₹17,900*","₹55,200*",2*,"₹20,00,000*",814,-,-,-,-,-,-,-,402(1),402(1),-,-
Assam Govt Quota,UR,Assam,"Jorhat Med Coll, Jorhat",OPHTHALMOLOGY,"₹17,900*","₹55,200*",2*,"₹20,00,000*",814,-,-,-,-,-,-,215(1),385(1),405(1),-,-
