Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2024 6
JK Govt Quota,JKPM,Jammu and Kashmir,"Govt Med Coll, Srinagar",OBG,"₹35,750*","₹59,500",0*,₹0*,2150,-,-,-,-,51(1),-,-,-,-,-
JK Govt Quota,OM,Jammu and Kashmir,"Gove Med Coll, Jammu",RADIO DIAGNOSIS,"₹25,000*","₹59,500",0*,₹0*,1700,52(6),17(1),-,-,56(5),25(3),-,38(1),-,-
JK Govt Quota,OM,Jammu and Kashmir,"Gove Med Coll, Jammu",DERMATOLOGY,"₹25,000*","₹59,500",0*,₹0*,1700,120(4),76(1),-,-,32(1),63(1),-,-,-,-
JK Govt Quota,JKPM,Jammu and Kashmir,"Govt Med Coll, Srinagar",PAEDIATRICS,"₹35,750*","₹59,500",0*,₹0*,2150,-,-,-,-,66(1),-,-,-,-,-
JK Govt Quota,JKPM,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",GENERAL SURGERY,"₹11,000*","₹82,000",0*,₹0*,Info Not Available,-,-,-,-,-,66(1),-,-,-,-
JK Govt Quota,SP,Jammu and Kashmir,"Gove Med Coll, Jammu",GENERAL SURGERY,"₹25,000*","₹59,500",0*,₹0*,1700,-,-,-,-,70(1),-,-,-,-,-
JK Govt Quota,OM,Jammu and Kashmir,"Govt Med Coll, Srinagar",TBRD,"₹35,750*","₹59,500",0*,₹0*,2150,159(2),-,-,-,50(1),75(1),-,-,-,-
JK Priv-Govt Quota,OM,Jammu and Kashmir,"ASCOMS, Jammu",RADIO DIAGNOSIS,"₹12,15,000*","₹45,560",0,₹0,507,109(1),129(1),-,-,78(1),-,-,-,-,-
JK Govt Quota,OM,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",PAEDIATRICS,"₹11,000*","₹82,000",0*,₹0*,Info Not Available,146(3),97(2),90(1),-,48(1),81(2),-,-,-,-
JK Priv-Hindu Min.,HM,Jammu and Kashmir,"ASCOMS, Jammu",RADIO DIAGNOSIS,"₹12,15,000*","₹45,560",0,₹0,507,-,171(1),-,-,-,82(1),-,-,-,-
JK Govt Quota,SP,Jammu and Kashmir,"Gove Med Coll, Jammu",OBG,"₹25,000*","₹59,500",0*,₹0*,1700,-,-,-,-,88(1),-,-,-,-,-
JK Govt Quota,OM,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",RADIO DIAGNOSIS,"₹11,000*","₹82,000",0*,₹0*,Info Not Available,38(8),-,-,-,96(8),-,-,-,-,-
JK Govt Quota,OM,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",GENERAL SURGERY,"₹11,000*","₹82,000",0*,₹0*,Info Not Available,123(5),126(2),136(1),-,71(3),117(2),-,-,-,-
JK Govt Quota,OM,Jammu and Kashmir,"Govt Med Coll, Srinagar",DDVL,"₹28,188*","₹59,500",0*,₹0*,2150,-,-,-,-,152(1),-,-,-,-,-
JK Govt Quota,OM,Jammu and Kashmir,"Govt Med Coll, Srinagar",RADIO DIAGNOSIS,"₹35,750*","₹59,500",0*,₹0*,2150,74(8),35(2),-,-,155(8),32(4),-,-,-,-
JK Govt Quota,SP,Jammu and Kashmir,"Govt Med Coll, Srinagar",ENT,"₹35,750*","₹59,500",0*,₹0*,2150,-,-,-,-,169(1),-,-,-,-,-
JK Govt Quota,OM,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",ORTHOPAEDICS,"₹11,000*","₹82,000",0*,₹0*,Info Not Available,161(1),164(1),-,-,117(1),170(1),-,-,-,-
JK Priv-Govt Quota,OM,Jammu and Kashmir,"ASCOMS, Jammu",OBG,"₹12,15,000*","₹45,560",0,₹0,507,130(2),250(2),-,-,190(2),-,-,-,-,-
JK Govt Quota,OM,Jammu and Kashmir,"Govt Med Coll, Srinagar",DERMATOLOGY,"₹35,750*","₹59,500",0*,₹0*,2150,60(2),55(1),-,-,197(2),38(1),-,62(1),-,-
JK Govt Quota,STK,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",DERMATOLOGY,"₹11,000*","₹82,000",0*,₹0*,Info Not Available,-,-,-,-,201(1),-,-,-,-,-
JK Govt Quota,ST-II,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",GENERAL MEDICINE,"₹11,000*","₹82,000",0*,₹0*,Info Not Available,-,-,-,-,208(1),-,-,-,-,-
JK Govt Quota,ST-I,Jammu and Kashmir,"Govt Med Coll, Srinagar",DERMATOLOGY,"₹35,750*","₹59,500",0*,₹0*,2150,-,-,-,-,215(1),-,-,-,-,-
JK Govt Quota,EWS,Jammu and Kashmir,"Gove Med Coll, Jammu",GENERAL MEDICINE,"₹25,000*","₹59,500",0*,₹0*,1700,-,-,-,-,220(1),-,-,-,-,-
JK Priv-Govt Quota,OM,Jammu and Kashmir,"ASCOMS, Jammu",GENERAL MEDICINE,"₹12,15,000*","₹45,560",0,₹0,507,188(2),244(1),-,-,213(2),226(1),-,-,-,-
JK Govt Quota,OM,Jammu and Kashmir,"Govt Med Coll, Srinagar",PSYCHIATRY,"₹35,750*","₹59,500",0*,₹0*,2150,127(3),173(1),213(1),-,94(2),228(2),-,-,-,-
JK Govt Quota,ST-I,Jammu and Kashmir,"Gove Med Coll, Jammu",DERMATOLOGY,"₹25,000*","₹59,500",0*,₹0*,1700,-,-,-,-,239(1),-,-,-,-,-
JK Govt Quota,ST-II,Jammu and Kashmir,"Gove Med Coll, Jammu",GENERAL MEDICINE,"₹25,000*","₹59,500",0*,₹0*,1700,-,-,-,-,241(1),-,-,-,-,-
JK Govt Quota,ST-I,Jammu and Kashmir,"Govt Med Coll, Srinagar",GENERAL MEDICINE,"₹35,750*","₹59,500",0*,₹0*,2150,-,-,-,-,262(1),-,-,-,-,-
JK Govt Quota,RBA,Jammu and Kashmir,"Govt Med Coll, Srinagar",GENERAL MEDICINE,"₹35,750*","₹59,500",0*,₹0*,2150,-,-,-,-,267(4),-,-,-,-,-
JK Govt Quota,OM,Jammu and Kashmir,"Govt Med Coll, Srinagar",OPHTHALMOLOGY,"₹35,750*","₹59,500",0*,₹0*,2150,170(3),193(1),-,-,182(3),174(1),-,269(1),-,-
JK Govt Quota,SP,Jammu and Kashmir,"Govt Med Coll, Srinagar",ANAESTHESIOLOGY,"₹35,750*","₹59,500",0*,₹0*,2150,327(1),-,-,-,-,273(1),-,-,-,-
JK Govt Quota,RBA,Jammu and Kashmir,"Gove Med Coll, Jammu",GENERAL MEDICINE,"₹25,000*","₹59,500",0*,₹0*,1700,-,-,-,-,275(1),-,-,-,-,-
JK Govt Quota,RBA,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",OBG,"₹11,000*","₹82,000",0*,₹0*,Info Not Available,-,-,-,-,282(2),-,-,-,-,-
JK Govt Quota,OBC,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",PAEDIATRICS,"₹11,000*","₹82,000",0*,₹0*,Info Not Available,-,-,-,-,291(1),-,-,-,-,-
JK Priv-Govt Quota,OM,Jammu and Kashmir,"ASCOMS, Jammu",PAEDIATRICS,"₹12,15,000*","₹45,560",0,₹0,507,286(2),-,-,-,234(2),296(2),-,-,-,-
JK Govt Quota,RBA,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",PAEDIATRICS,"₹11,000*","₹82,000",0*,₹0*,Info Not Available,-,-,-,-,297(1),-,-,-,-,-
JK Govt Quota,RBA,Jammu and Kashmir,"Govt Med Coll, Srinagar",TBRD,"₹35,750*","₹59,500",0*,₹0*,2150,-,-,-,-,303(1),-,-,-,-,-
JK Govt Quota,RBA,Jammu and Kashmir,"Gove Med Coll, Jammu",PAEDIATRICS,"₹25,000*","₹59,500",0*,₹0*,1700,220(1),-,-,-,304(1),-,-,-,-,-
JK Priv-Hindu Min.,HM,Jammu and Kashmir,"ASCOMS, Jammu",PAEDIATRICS,"₹12,15,000*","₹45,560",0,₹0,507,-,354(1),-,-,-,310(1),-,-,-,-
JK Govt Quota,EWS,Jammu and Kashmir,"Gove Med Coll, Jammu",OBG,"₹25,000*","₹59,500",0*,₹0*,1700,-,-,-,-,313(1),-,-,-,-,-
JK Priv-Govt Quota,OM,Jammu and Kashmir,"ASCOMS, Jammu",GENERAL SURGERY,"₹12,15,000*","₹45,560",0,₹0,507,297(2),357(1),-,-,300(2),316(1),-,-,-,-
JK Govt Quota,CDP,Jammu and Kashmir,"Gove Med Coll, Jammu",ANAESTHESIOLOGY,"₹25,000*","₹59,500",0*,₹0*,1700,257(2),-,-,-,338(1),-,-,-,-,-
JK Govt Quota,OBC,Jammu and Kashmir,"Gove Med Coll, Jammu",OBG,"₹25,000*","₹59,500",0*,₹0*,1700,-,-,-,-,352(2),-,-,-,-,-
JK Priv-Hindu Min.,HM,Jammu and Kashmir,"ASCOMS, Jammu",GENERAL SURGERY,"₹12,15,000*","₹45,560",0,₹0,507,-,366(1),-,-,-,336(1),-,355(1),-,-
JK Govt Quota,ST-I,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",ORTHOPAEDICS,"₹11,000*","₹82,000",0*,₹0*,Info Not Available,-,-,-,-,365(1),-,-,-,-,-
JK Govt Quota,RBA,Jammu and Kashmir,"Govt Med Coll, Srinagar",PAEDIATRICS,"₹35,750*","₹59,500",0*,₹0*,2150,-,-,-,-,372(4),-,-,-,-,-
JK Govt Quota,SC,Jammu and Kashmir,"Gove Med Coll, Jammu",OBG,"₹25,000*","₹59,500",0*,₹0*,1700,278(1),355(1),423(1),-,374(1),-,-,-,-,-
JK Govt Quota,SC,Jammu and Kashmir,"Govt Med Coll, Srinagar",OBG,"₹35,750*","₹59,500",0*,₹0*,2150,-,-,-,-,381(1),-,-,-,-,-
JK Govt Quota,RBA,Jammu and Kashmir,"Govt Med Coll, Srinagar",GENERAL SURGERY,"₹35,750*","₹59,500",0*,₹0*,2150,-,-,-,-,387(1),-,-,-,-,-
JK Govt Quota,RBA,Jammu and Kashmir,"Govt Med Coll, Srinagar",OBG,"₹35,750*","₹59,500",0*,₹0*,2150,219(1),-,-,-,388(3),-,-,-,-,-
JK Govt Quota,ALC/IB,Jammu and Kashmir,"Gove Med Coll, Jammu",ORTHOPAEDICS,"₹25,000*","₹59,500",0*,₹0*,1700,247(1),-,-,-,390(1),-,-,-,-,-
JK Govt Quota,ST-II,Jammu and Kashmir,"Govt Med Coll, Srinagar",OBG,"₹35,750*","₹59,500",0*,₹0*,2150,-,-,-,-,318(3),401(1),-,-,-,-
JK Govt Quota,RBA,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",PSYCHIATRY,"₹11,000*","₹82,000",0*,₹0*,Info Not Available,-,-,-,-,404(1),-,-,-,-,-
JK Govt Quota,RBA,Jammu and Kashmir,"Govt Med Coll, Srinagar",ORTHOPAEDICS,"₹35,750*","₹59,500",0*,₹0*,2150,-,-,-,-,405(2),-,-,-,-,-
JK Govt Quota,OBC,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",GENERAL SURGERY,"₹11,000*","₹82,000",0*,₹0*,Info Not Available,-,-,-,-,406(1),-,-,-,-,-
JK Govt Quota,RBA,Jammu and Kashmir,"Gove Med Coll, Jammu",GENERAL SURGERY,"₹25,000*","₹59,500",0*,₹0*,1700,-,-,-,-,414(2),-,-,-,-,-
JK Govt Quota,ALC/IB,Jammu and Kashmir,"Gove Med Coll, Jammu",GENERAL SURGERY,"₹25,000*","₹59,500",0*,₹0*,1700,509(2),633(1),-,-,417(1),-,-,-,-,-
JK Govt Quota,RBA,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",GENERAL SURGERY,"₹11,000*","₹82,000",0*,₹0*,Info Not Available,-,-,-,-,421(5),426(1),-,-,-,-
JK Priv-Mgmt Quota,MQ,Jammu and Kashmir,"ASCOMS, Jammu",PSYCHIATRY,"₹12,15,000*","₹45,560",0,₹0,507,-,-,-,-,442(1),-,-,-,-,-
JK Govt Quota,OBC,Jammu and Kashmir,"Govt Med Coll, Srinagar",GENERAL SURGERY,"₹35,750*","₹59,500",0*,₹0*,2150,-,-,-,-,467(1),-,-,-,-,-
JK Govt Quota,OM,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",HOSPITAL ADMINISTRATION,"₹11,000*","₹82,000",0*,₹0*,Info Not Available,-,-,580(2),-,-,-,-,469(1),-,-
JK Govt Quota,OBC,Jammu and Kashmir,"Gove Med Coll, Jammu",GENERAL MEDICINE,"₹25,000*","₹59,500",0*,₹0*,1700,-,-,-,-,274(1),475(1),-,-,-,-
JK Govt Quota,STK,Jammu and Kashmir,"Govt Med Coll, Srinagar",OBG,"₹35,750*","₹59,500",0*,₹0*,2150,-,-,-,-,317(1),477(1),-,-,-,-
JK Priv-Mgmt Quota,MQ,Jammu and Kashmir,"ASCOMS, Jammu",ANAESTHESIOLOGY,"₹12,15,000*","₹45,560",0,₹0,507,389(1),516(1),-,-,486(1),-,-,-,-,-
