Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2024 6,CR 2024 7
Tel Govt-NS LOC,OPEN-GEN,Telangana,"ESIC Med Coll,Sanath Nagar",OBG,"₹2,50,000*","₹1,26,927*",2*,"₹10,00,000*",690,347(1),423(1),721(1),721(1),721(1),721(1),208(1),208(1),208(1),208(1),-,-,-
Tel Govt-NS LOC,BCB-GEN,Telangana,"Kakatiya Med Coll, Warangal",PAEDIATRICS,"₹25,000*","₹58,289",1,"₹20,00,000",1150,-,451(1),552(1),552(1),552(1),552(1),148(1),212(1),212(1),212(1),-,-,-
Tel Govt-NS LOC,BCE-GEN,Telangana,"Osmania Med Coll, Hyderabad",GENERAL SURGERY,"₹25,000*","₹58,289",1,"₹20,00,000",4800,465(1),465(1),1184(1),1184(1),1184(1),1184(1),217(1),217(1),217(1),217(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Apollo IMSR, Hyderabad",DERMATOLOGY,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",570,766(1),916(1),919(1),919(1),919(1),919(1),219(1),219(1),219(1),219(1),-,-,-
Tel Govt-NS LOC,BCB-GEN,Telangana,"Gandhi Med Coll, Secunderabad",PAEDIATRICS,"₹25,000*","₹58,289",1,"₹20,00,000",1200,379(1),379(1),379(1),379(1),379(1),379(1),203(1),220(2),220(2),220(2),-,-,-
Tel Govt-NS LOC,BCA-GEN,Telangana,"Gandhi Med Coll, Secunderabad",OBG,"₹25,000*","₹58,289",1,"₹20,00,000",1200,-,-,-,-,-,-,221(1),221(1),221(1),221(1),-,-,-
Tel Govt-NS LOC,BCB-GEN,Telangana,"Gandhi Med Coll, Secunderabad",GENERAL SURGERY,"₹25,000*","₹58,289",1,"₹20,00,000",1200,406(1),406(1),406(1),406(1),406(1),406(1),194(1),194(1),222(2),222(2),-,-,-
Tel Govt-NS LOC,BCB-FEM-PHO,Telangana,"Osmania Med Coll, Hyderabad",GENERAL MEDICINE,"₹25,000*","₹58,289",1,"₹20,00,000",4800,-,-,-,-,-,-,224(1),224(1),224(1),224(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Kakatiya Med Coll, Warangal",PAEDIATRICS,"₹25,000*","₹58,289",1,"₹20,00,000",1150,-,348(1),348(1),348(1),348(1),348(1),156(1),156(1),225(1),225(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Gandhi Med Coll, Secunderabad",PAEDIATRICS,"₹25,000*","₹58,289",1,"₹20,00,000",1200,238(1),425(1),425(1),425(1),425(1),425(1),127(1),127(1),229(1),229(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Prathima IMS, Karimnagar",GENERAL MEDICINE,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",1060,-,-,-,-,-,-,231(1),231(1),231(1),231(1),-,-,-
Tel Govt-NS LOC,BCD-GEN,Telangana,"Kakatiya Med Coll, Warangal",PAEDIATRICS,"₹25,000*","₹58,289",1,"₹20,00,000",1150,358(1),558(1),604(1),604(1),604(1),604(1),188(1),232(1),232(1),232(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Kamineni IMS, Narketpally",RADIO DIAGNOSIS,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",1060,-,-,-,-,-,-,266(1),266(1),241(1),241(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Mamata Med Coll, Khammam",GENERAL MEDICINE,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",1080,641(1),708(1),709(1),709(1),709(1),709(1),243(1),243(1),243(1),243(1),-,-,-
Tel Govt-NS LOC,BCD-FEM,Telangana,"Gandhi Med Coll, Secunderabad",OBG,"₹25,000*","₹58,289",1,"₹20,00,000",1200,-,374(1),374(1),374(1),374(1),374(1),-,-,245(1),245(1),-,-,-
Tel Govt-NS LOC,BCE-GEN,Telangana,"Govt Med Coll, Nizamabad",RADIO DIAGNOSIS,"₹25,000*","₹58,289",1,"₹20,00,000",500,-,-,-,-,-,-,246(1),246(1),246(1),246(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Gandhi Med Coll, Secunderabad",PAEDIATRICS,"₹25,000*","₹58,289",1,"₹20,00,000",1200,229(1),380(1),380(1),380(1),380(1),380(1),153(1),153(1),247(1),247(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Mediciti IMS, Ghanpur",RADIO DIAGNOSIS,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",720,587(1),601(1),601(1),601(1),601(1),601(1),249(1),249(1),249(1),249(1),-,-,-
