Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
UK Priv-Govt Quota,SC-OPEN,Uttarakhand,"SGRRI, Dehradun",RADIO DIAGNOSIS,"₹32,00,000*","₹59,065",1,"₹10,00,000",750,473(1),-,-,-,-,692(1),-,820(1),-,-
UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"SGRRI, Dehradun",TBRD,"₹25,75,000*","₹59,065",1,"₹10,00,000",750,288(1),268(1),85(1),-,-,449(2),603(2),833(2),-,-
UK Priv-Govt Quota,UR-OPEN,Uttarakhand,"HIMS, Dehradun",EMERGENCY MEDICINE,"₹17,00,000*","₹40,000",1,"₹10,00,000",1200,-,-,-,-,-,834(1),814(1),839(1),-,-
UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"SGRRI, Dehradun",GENERAL SURGERY,"₹25,75,000*","₹59,065",1,"₹10,00,000",750,377(5),357(4),102(4),-,-,615(8),669(7),840(3),694(1),-
UK Priv-Govt Quota,UR-OPEN,Uttarakhand,"HIMS, Dehradun",OBG,"₹30,00,000*","₹40,000",1,"₹2,50,00,000",1200,458(2),438(1),126(1),-,-,458(1),389(1),851(3),437(1),-
UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"SGRRI, Dehradun",OPHTHALMOLOGY,"₹26,75,000*","₹59,065",1,"₹10,00,000",750,300(2),466(2),194(1),-,-,403(2),843(2),870(2),959(1),-
UK-Govt Quota,SC-OPEN,Uttarakhand,"Doon Med Coll, Dehradun",PATHOLOGY,"₹60,000*","₹71,257*",2*,"₹2,50,00,000*",436,-,-,-,-,-,549(1),433(1),871(1),1330(1),-
UK-Govt Quota,OBC-OPEN,Uttarakhand,"Govt Med Coll, Haldwani",PATHOLOGY,"₹60,000*","₹71,257*",2*,"₹2,50,00,000*",600,-,-,-,-,-,702(1),849(1),876(1),-,-
UK Priv-Govt Quota,OBC-OPEN,Uttarakhand,"SGRRI, Dehradun",GENERAL MEDICINE,"₹28,00,000*","₹59,065",1,"₹10,00,000",750,-,-,-,171(1),-,-,-,883(1),-,-
UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"SGRRI, Dehradun",PSYCHIATRY,"₹26,75,000*","₹59,065",1,"₹10,00,000",750,408(1),588(1),153(1),-,-,452(3),751(3),884(1),1098(1),-
UK Priv-Govt Quota,UR-OPEN,Uttarakhand,"HIMS, Dehradun",ENT,"₹17,00,000*","₹40,000",1,"₹10,00,000",1200,-,-,305(1),-,-,-,-,895(1),-,-
UK Priv-Govt Quota,UR-OPEN,Uttarakhand,"HIMS, Dehradun",GENERAL SURGERY,"₹25,00,000*","₹40,000",1,"₹2,50,00,000",1200,498(3),583(3),240(4),-,-,320(1),-,906(2),-,-
UK Priv-NRI,UR-NRI,Uttarakhand,"SGRRI, Dehradun",DERMATOLOGY,"₹48,43,000*","₹59,065",1,"₹10,00,000",750,-,-,-,-,-,-,-,910(1),-,-
UK-Govt Quota,UR-OPEN,Uttarakhand,"Govt Med Coll, Haldwani",MICROBIOLOGY,"₹1,00,000*","₹71,257*",0*,₹0*,600,-,-,-,-,40(1),-,-,925(1),-,-
UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"HIMS, Dehradun",EMERGENCY MEDICINE,"₹17,00,000*","₹40,000",1,"₹10,00,000",1200,373(1),550(1),143(1),-,-,481(1),893(1),933(1),-,-
