Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
Bihar Govt Quota,UR-GEN,Bihar,"Patna Med Coll, Patna",ENT,"₹9,000*","₹82,000",3*,"₹25,00,000*",1748,230(1),270(1),380(1),-,-,-,-,249(1),450(1),-
Bihar Govt Quota,UR-GEN,Bihar,"Jawaharlal Nehru, Bhagalpur",OPHTHALMOLOGY,"₹9,000*","₹82,000",3*,"₹25,00,000*",800,-,-,-,-,-,-,-,252(1),-,-
Bihar Govt Quota,UR-FEM,Bihar,"IGIMS, Patna",ANAESTHESIOLOGY,"₹1,60,000*","₹1,05,000*",0,₹0,1062,-,-,370(1),-,-,225(1),323(1),255(1),-,-
Bihar Govt Quota,EBC-GEN,Bihar,"IGIMS, Patna",ANAESTHESIOLOGY,"₹1,60,000*","₹1,05,000*",0,₹0,1062,-,-,-,-,-,393(3),412(3),262(3),332(1),-
Bihar Govt Quota,UR-FEM,Bihar,"Patna Med Coll, Patna",ANAESTHESIOLOGY,"₹9,000*","₹82,000",3*,"₹25,00,000*",1748,-,-,-,-,-,316(1),316(1),270(1),438(1),-
Bihar Govt Quota,EBC-GEN,Bihar,"Patna Med Coll, Patna",ANAESTHESIOLOGY,"₹9,000*","₹82,000",3*,"₹25,00,000*",1748,340(2),314(1),540(3),57(1),-,469(2),469(2),273(1),-,-
Bihar Govt Quota,EBC-GEN,Bihar,"IGIMS, Patna",ENT,"₹1,60,000*","₹1,05,000*",0,₹0,1062,-,-,591(1),-,-,445(1),445(1),278(1),702(1),-
Bihar Govt Quota,UR-GEN,Bihar,"Darbhanga, Lehriasarai",ENT,"₹9,000*","₹82,000",3*,"₹25,00,000*",1030,-,-,-,-,-,-,-,282(1),639(1),-
Bihar Govt Quota,RCG,Bihar,"Darbhanga, Lehriasarai",OPHTHALMOLOGY,"₹9,000*","₹82,000",3*,"₹25,00,000*",1030,377(1),377(1),391(1),-,-,372(1),372(1),286(1),460(1),-
Bihar Govt Quota,BC-GEN,Bihar,"Patna Med Coll, Patna",ANAESTHESIOLOGY,"₹9,000*","₹82,000",3*,"₹25,00,000*",1748,312(1),323(1),422(1),-,-,465(1),465(1),289(1),-,-
