Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
UP-DNB InS,BC Service,Uttar Pradesh,"LokBandhuRajNarayanHosp,Lucknow",DCH(NBEMS),"₹1,25,000","₹70,000",0*,₹0*,318,-,-,-,-,-,77(1),77(1),81(1),-,-
UP-DNB InS,BC Service,Uttar Pradesh,"Dist Women Hosp, Rekab Ganj",DCH(NBEMS),"₹1,25,000","₹70,000",0*,₹0*,-,-,-,-,-,-,52(1),78(1),82(1),129(1),-
UP-Govt Quota,BC,Uttar Pradesh,"MLN Med Coll, Allahabad",RADIO DIAGNOSIS,"₹40,000","₹1,00,980*",2*,"₹40,00,000*",Info Not Available,29(1),73(1),-,-,-,82(1),82(1),84(1),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"Dist Women Hosp, Barabanki",DGO(NBEMS),"₹1,25,000","₹70,000*",0*,₹0*,-,-,-,-,-,-,80(1),80(1),84(1),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"AutonomousStateMC,Rampur",DCH(NBEMS),"₹1,25,000","₹80,000*",0*,₹0*,Info Not Available,-,-,-,-,-,81(1),81(1),85(1),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"Dist Male Hosp, Basti, UP",DTBCD(NBEMS),"₹1,25,000","₹70,000*",0*,₹0*,-,-,-,-,-,-,35(1),83(1),87(1),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"Autonomous State MC, Firozabad",DGO(NBEMS),"₹1,25,000","₹80,000*",0*,₹0*,244,-,-,-,-,-,85(1),85(1),89(1),-,-
UP-Govt Quota,SC,Uttar Pradesh,"KGMU, Lucknow",RADIO DIAGNOSIS,"₹54,700*","₹1,09,955",2*,"₹40,00,000*",4500,92(1),93(1),-,-,-,88(1),88(1),90(1),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"ShriShivPrasadDistHos,Varanasi",DO(NBEMS),"₹1,25,000","₹70,000",0*,₹0*,316,-,-,-,-,-,86(1),86(1),90(1),-,-
UP-DNB InS,BC Service,Uttar Pradesh,"Balrampur Hospital, Lucknow",DO(NBEMS),"₹1,25,000","₹70,000*",0*,₹0*,656,-,-,-,-,-,88(1),88(1),92(1),-,-
UP-Govt Quota,UR,Uttar Pradesh,"MLN Med Coll, Allahabad",GENERAL MEDICINE,"₹40,000","₹1,00,980*",2*,"₹40,00,000*",Info Not Available,75(4),77(4),-,-,-,74(5),84(5),93(5),-,-
UP-DNB InS,BC Service,Uttar Pradesh,"MRA Med Coll, Ambedkar Nagar",DGO(NBEMS),"₹1,25,000","₹80,000*",0*,₹0*,Info Not Available,85(1),86(1),-,-,-,89(1),89(1),93(1),-,-
UP-Govt Quota,UR,Uttar Pradesh,"BRD Med Coll, Gorakhpur",DERMATOLOGY,"₹40,000","₹1,00,980*",2*,"₹40,00,000*",1050,-,-,-,-,-,72(1),92(1),94(1),-,-
UP-DNB InS,BC Service,Uttar Pradesh,"Autonomous State MC, Firozabad",DGO(NBEMS),"₹1,25,000","₹80,000*",0*,₹0*,244,-,-,-,-,-,93(1),93(1),97(1),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"Rani DurgavatiMedColl,Banda,UP",DCH(NBEMS),"₹1,25,000","₹80,000*",0*,₹0*,430,65(1),80(1),-,-,-,94(1),94(1),98(1),-,-
UP-DNB InS,SC Service,Uttar Pradesh,"VeeranganaAwantiBaiWom,Lucknow",DGO(NBEMS),"₹1,25,000","₹70,000",0*,₹0*,326,-,-,-,-,-,41(1),95(1),99(1),-,-
UP-Govt Quota,BC,Uttar Pradesh,"LLRM Med Coll, Meerut",RADIO DIAGNOSIS,"₹40,000","₹1,00,980*",2*,"₹40,00,000*",1090,-,-,-,-,-,100(1),100(1),102(1),-,-
UP-DNB InS,SC Service,Uttar Pradesh,"Autonomous State MC, Firozabad",DNBPAEDIATRICS,"₹1,25,000","₹80,000*",0*,₹0*,244,-,-,-,-,-,98(1),98(1),102(1),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"Government Med Coll, Badaun",DTBCD(NBEMS),"₹1,25,000","₹80,000*",0*,₹0*,234,-,-,-,-,-,101(1),101(1),105(1),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"AutonomousStateMC,Shahjahanpur",DNBGENERAL SURGERY,"₹1,25,000","₹80,000*",0*,₹0*,312,-,-,-,-,-,103(1),103(1),107(1),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"Autonomous State MC, Ayodhya",DCH(NBEMS),"₹1,25,000","₹80,000*",0*,₹0*,300,34(1),51(1),-,-,-,45(1),105(1),109(1),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"AutonomousStateMC,Shahjahanpur",DCH(NBEMS),"₹1,25,000","₹80,000*",0*,₹0*,312,-,-,-,-,-,109(1),109(1),113(1),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"Sri Ram Hospital, Ayodhya, UP",DTBCD(NBEMS),"₹1,25,000","₹70,000*",0*,₹0*,-,-,-,-,-,-,-,-,114(1),-,-
UP-Govt Quota,BC,Uttar Pradesh,"BRD Med Coll, Gorakhpur",DERMATOLOGY,"₹40,000","₹1,00,980*",2*,"₹40,00,000*",1050,-,-,-,-,-,114(1),114(1),116(1),-,-
UP-DNB InS,BC Service,Uttar Pradesh,"UrsalaHorsmanMemHosp, Kanpur",DTBCD(NBEMS),"₹1,25,000","₹70,000",0*,₹0*,550,-,-,-,-,-,26(1),91(1),116(1),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"Balrampur Hospital, Lucknow",DNBPATHOLOGY,"₹1,25,000","₹70,000*",0*,₹0*,656,-,-,-,-,-,111(1),111(1),117(1),-,-
UP-DNB InS,SC Service,Uttar Pradesh,"UrsalaHorsmanMemHosp, Kanpur",DLO(NBEMS),"₹1,25,000","₹70,000",0*,₹0*,550,-,-,-,-,-,-,112(1),118(1),-,-
